Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,17 pt/R$,3 pt/R$,17 pt/R$,10 pt/R$,9 pt/R$,5 pt/R$,2024-04-12
Ponto,7 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,7 pt/R$,7 pt/R$,2024-04-12
Extra,8 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,8 pt/R$,5 pt/R$,2024-04-12
Magazine Luiza,5 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,5 pt/R$,1 pt/R$,2024-04-12
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-12
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-12
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-12
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-12
Camicado,3 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-12
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-12
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-12
Polishop,7 pt/R$,3 pt/R$,,3 pt/R$,,7 pt/R$,2024-04-12
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-12
Hoteis.com,7 pt/U$,7 pt/U$,,,1 pt/R$,4 pt/R$,2024-04-12
Natura,6 pt/R$,,4 pt/R$,,6 pt/R$,4 pt/R$,2024-04-12
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-12
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-12
Insider Store,15 pt/R$,,,,10 pt/R$,15 pt/R$,2024-04-12
Decolar,2 pt/R$,,,,2 pt/R$,1 pt/R$,2024-04-12
Portal das Malas,17 pt/R$,2 pt/R$,17 pt/R$,,1 pt/R$,,2024-04-12
Top Store,17 pt/R$,,17 pt/R$,3 pt/R$,1 pt/R$,,2024-04-12
Unidas,6 pt/R$,,2 pt/R$,,6 pt/R$,6 pt/R$,2024-04-12
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-12
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-12
Rentcars,2 pt/R$,2 pt/R$,1 pt/R$,,1 pt/R$,,2024-04-12
Localiza,10 pt/U$,,,,10 pt/U$,,2024-04-12
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
Petlove Saúde,18 pt/R$,,6 pt/R$,,18 pt/R$,16 pt/R$,2024-04-12
Rentalcars,15 pt/U$,4 pt/U$,,,15 pt/U$,,2024-04-12
