Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Samsung,1 pt/R$,,,,,,2024-04-12
Assist Card,17 pt/R$,,17 pt/R$,,10 pt/R$,,2024-04-12
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-12
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-12
Disney+,1731 pt,,,,,,2024-04-12
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-12
Farmacias App,4 pt/R$,,,,4 pt/R$,,2024-04-12
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-12
Boticário,7 pt/R$,,,,7 pt/R$,,2024-04-12
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-12
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-12
ABC da Construcao,1 pt/R$,,,,1 pt/R$,,2024-04-12
Mistral,12 pt/R$,,,,1 pt/R$,12 pt/R$,2024-04-12
Forever Liss,8 pt/R$,,,,2 pt/R$,8 pt/R$,2024-04-12
Bagaggio,1 pt/R$,,1 pt/R$,,1 pt/R$,,2024-04-12
Eudora,5 pt/R$,,,,5 pt/R$,,2024-04-12
Carrefour,4 pt/R$,,,,4 pt/R$,,2024-04-12
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-12
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-12
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-12
Dudalina,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-12
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-12
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-12
John John,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-12
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-12
NordVPN,40 pt/U$,,,,,,2024-04-12
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-12
Individual,3 pt/R$,,3 pt/R$,,2 pt/R$,,2024-04-12
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-12
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-12
Sephora,1 pt/R$,,,,1 pt/R$,,2024-04-12
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-12
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-12
LE LIS,3 pt,,3 pt,,3 pt/R$,,2024-04-12
Bobo,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-12
Coffee Mais,15 pt/R$,,,,15 pt/R$,12 pt/R$,2024-04-12
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-12
Crocs,3 pt/R$,,,,3 pt/R$,,2024-04-12
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-12
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-12
Seus Ingressos,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
Hotels.com,5 pt/U$,,,,,,2024-04-12
Samsonite,2 pt/R$,,,,2 pt/R$,,2024-04-12
Pontos por Opiniões,250 pt,,250 pt,,,,2024-04-12
ClickBus,2 pt/R$,,,,2 pt/R$,,2024-04-12
Quitanda,2000 pt,,,,,2000 pt,2024-04-12
YvY,3 pt/R$,,,,3 pt/R$,2 pt/R$,2024-04-12
Klabin,12 pt/R$,,,,1 pt/R$,12 pt/R$,2024-04-12
Consorcio Magalu,12 pt/R$,,,,12 pt/R$,,2024-04-12
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-12
Nespresso,6 pt/R$,,,,,6 pt/R$,2024-04-12
Amobeleza,1 pt/R$,,,,1 pt/R$,,2024-04-12
Ciclic,4 pt/R$,,,,4 pt/R$,,2024-04-12
Loccitane Au Bresil,1 pt/R$,,,,1 pt/R$,,2024-04-12
Gazin,3 pt/R$,,,,2 pt/R$,,2024-04-12
Airbnb,2 pt/£,,,,,,2024-04-12
Accor live Limitless,2 pt/R$,2 pt/R$,,,,,2024-04-12
Puket,1 pt/R$,,,,1 pt/R$,,2024-04-12
Microsoft Store,2 pt/U$,,,,,,2024-04-12
Luxury Loyalty,3 pt/R$,,,,2 pt/R$,,2024-04-12
Oceane,2 pt/R$,,,,2 pt/R$,,2024-04-12
Buser,2 pt/R$,,,,2 pt/R$,,2024-04-12
Pede Pronto,3 pt/R$,,,,3 pt/R$,,2024-04-12
Panvel,1 pt/R$,,,,1 pt/R$,,2024-04-12
Havaianas,2 pt/R$,,,,2 pt/R$,,2024-04-12
GoDaddy,10 pt/U$,,,,,,2024-04-12
Abelha Rainha,3 pt/R$,,,,3 pt/R$,,2024-04-12
Estoque,2 pt/R$,,2 pt/R$,,1 pt/R$,,2024-04-12
Kaligo,15 pt/U$,,,,15 pt/U$,,2024-04-12
Loungerie,3 pt/R$,,,,3 pt/R$,,2024-04-12
Sousmile,15000 pt,,,,,15000 pt,2024-04-12
Zissou,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-12
Marriott International,4 pt/U$,,,,,,2024-04-12
Viator,8 pt/U$,,,,,,2024-04-12
Beto Carrero World,2 pt/R$,,,,2 pt/R$,,2024-04-12
Asics,1 pt/R$,,,,1 pt/R$,,2024-04-12
Foco,2 pt/R$,,,,2 pt/R$,,2024-04-12
CARREFOUR Mercado,1 pt/R$,,,,1 pt/R$,,2024-04-12
Cabana Magazine,1 pt/R$,,,,1 pt/R$,,2024-04-12
Hope,4 pt/R$,,,,4 pt/R$,,2024-04-12
Cruzeiros Agaxtur,2 pt/R$,,,,2 pt/R$,,2024-04-12
Horas Mágicas,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-12
Portallar,8 pt/R$,,,,8 pt/R$,,2024-04-12
Lego,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-12
Posthaus,1 pt/R$,,,,1 pt/R$,,2024-04-12
Loccitane en Provence,1 pt/R$,,,,1 pt/R$,,2024-04-12
Quero Passagem,1 pt/R$,,,,1 pt/R$,,2024-04-12
Dzarm,3 pt/R$,,,,3 pt/R$,,2024-04-12
eBay,0.5 pt/U$,,,,,,2024-04-12
Reservecar,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
Piatan Natural,13 pt/R$,,,,13 pt/R$,,2024-04-12
Liz,3 pt/R$,,,,3 pt/R$,,2024-04-12
Spicy,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-12
Cobasi,1 pt/R$,,,,,,2024-04-12
Ciclic Seguro Celular,4 pt/R$,,,,4 pt/R$,,2024-04-12
Top Móveis,1 pt/R$,,,,1 pt/R$,,2024-04-12
Studio Z,2 pt/R$,,,,2 pt/R$,,2024-04-12
Monte Carlo,1 pt/R$,,,,1 pt/R$,,2024-04-12
Trocafy,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-12
Oxford,2 pt/R$,,,,2 pt/R$,,2024-04-12
Supernosso,1 pt/R$,,,,1 pt/R$,,2024-04-12
Autodesk,3 pt/U$,,,,,,2024-04-12
Vila Galé,0.5 pt/R$,,,,,,2024-04-12
Allianz Travel,4 pt/R$,,,,4 pt/R$,,2024-04-12
Paramount+,350 pt,,,,,,2024-04-12
Umbro,2 pt/R$,,,,2 pt/R$,,2024-04-12
Marriott Bonvoy,0.33 pt/R$,0.33 pt/R$,,,,,2024-04-12
Fila,2 pt/R$,,,,2 pt/R$,,2024-04-12
Surfshark,15 pt/U$,,,,,,2024-04-12
AVG,12 pt/U$,,,,,,2024-04-12
McAfee.com,15 pt/U$,,,,,,2024-04-12
IntegralMedica,1 pt/R$,,,,1 pt/R$,,2024-04-12
Época Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-12
Babbel,6 pt/U$,,,,,,2024-04-12
SHI,25000 pt,,,,,25000 pt,2024-04-12
Reservations.com,5 pt/U$,,,,,,2024-04-12
Under Armour,1 pt/R$,,,,1 pt/R$,,2024-04-12
JBL,1 pt/R$,,,,1 pt/R$,,2024-04-12
Auto Compara,5000 pt,,,,,5000 pt,2024-04-12
Osklen,2 pt/R$,,,,2 pt/R$,,2024-04-12
Giuliana Flores,3 pt/R$,,,,3 pt/R$,,2024-04-12
Avast,12 pt/U$,,,,,,2024-04-12
Sixt,1 pt/R$,,,,1 pt/R$,,2024-04-12
Nomad,5 pt/U$,,,,,5 pt/U$,2024-04-12
Café Orfeu,7 pt/R$,,,,3 pt/R$,,2024-04-12
Hoteis de Luxo Brasil,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-12
Basicamente,4 pt/R$,,,,4 pt/R$,,2024-04-12
NordPass,20 pt/U$,,,,,,2024-04-12
Summerville,2 pt/R$,,,,2 pt/R$,,2024-04-12
Hope Resort,4 pt/R$,,,,4 pt/R$,,2024-04-12
Morana,3 pt/R$,,,,3 pt/R$,,2024-04-12
Tia Sônia,1 pt/R$,,,,1 pt/R$,,2024-04-12
Holiday Inn,3 pt/U$,,,,,,2024-04-12
La Pastina,2 pt/R$,,,,,2 pt/R$,2024-04-12
Bonjour Lingerie,6 pt/R$,,,,6 pt/R$,,2024-04-12
Speedo,4 pt/R$,,,,4 pt/R$,,2024-04-12
Easy Live,1 pt/R$,,,,1 pt/R$,,2024-04-12
Travelex,1 pt/U$,,,,1 pt/U$,,2024-04-12
Cafe Utam,2 pt/R$,,,,2 pt/R$,,2024-04-12
ALL-Accor Live Limitless,8 pt/£,,,,,,2024-04-12
WebContinental,3 pt/R$,,,,,,2024-04-12
CyberGhost VPN,20 pt/U$,,,,,,2024-04-12
Beep,7 pt/R$,,,,7 pt/R$,,2024-04-12
Chico Rei,1 pt/R$,,,,1 pt/R$,,2024-04-12
Império,1 pt/R$,,,,1 pt/R$,,2024-04-12
Nike,2 pt/R$,,,,2 pt/R$,,2024-04-12
Caesars Rewards,2 pt/U$,,,,,,2024-04-12
Oster,1 pt/R$,,,,1 pt/R$,,2024-04-12
Santista,2 pt/R$,,,,2 pt/R$,,2024-04-12
Chocolat Du Jour,2 pt/R$,,,,,2 pt/R$,2024-04-12
Guldi,1 pt/R$,,,,1 pt/R$,,2024-04-12
IFriend,2 pt/R$,2 pt/R$,,,,,2024-04-12
Grand Cru,2 pt/R$,,,,,2 pt/R$,2024-04-12
Sebastian Coffee,13 pt/R$,,,,13 pt/R$,,2024-04-12
Nutrify,1 pt/R$,,,,1 pt/R$,,2024-04-12
Ubisoft Store,1 pt/U$,,,,,,2024-04-12
Gama Italy,2 pt/R$,,,,,2 pt/R$,2024-04-12
Loja Madesa,1 pt/R$,,,,1 pt/R$,,2024-04-12
Priority Pass,10 pt/U$,,,,,,2024-04-12
Avon,4 pt/R$,,,,4 pt/R$,,2024-04-12
Mizuno,1 pt/R$,,,,1 pt/R$,,2024-04-12
Coliseu,2 pt/R$,,,,2 pt/R$,,2024-04-12
Beach Park,10 pt/R$,,,,10 pt/R$,,2024-04-12
Seculus,2 pt/R$,,,,2 pt/R$,,2024-04-12
Beyoung,3 pt/R$,,,,3 pt/R$,,2024-04-12
Lojas Colombo,4 pt/R$,,,,,,2024-04-12
Olympikus,6 pt/R$,,,,6 pt/R$,,2024-04-12
Utilplast,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-12
Artex,1 pt/R$,,,,1 pt/R$,,2024-04-12
Basico.com,3 pt/R$,,,,3 pt/R$,,2024-04-12
Cestas Michelli,3 pt/R$,,,,3 pt/R$,,2024-04-12
Flormel,3 pt/R$,,,,3 pt/R$,,2024-04-12
Dream Fitness,1 pt/R$,,,,1 pt/R$,,2024-04-12
Radisson Hotels,4 pt/U$,,,,,,2024-04-12
Cervejabox,1 pt/R$,,,,1 pt/R$,,2024-04-12
CARE Natural Beauty,4 pt/R$,,,,4 pt/R$,,2024-04-12
Foxton,2 pt/R$,,,,2 pt/R$,,2024-04-12
Darkness,1 pt/R$,,,,1 pt/R$,,2024-04-12
Tiqets,6 pt/U$,,,,,,2024-04-12
Baw Clothing,2 pt/R$,,,,2 pt/R$,,2024-04-12
Granado,1 pt/R$,,,,1 pt/R$,,2024-04-12
avis,1 pt/R$,,,,1 pt/R$,,2024-04-12
Technos,2 pt/R$,,,,2 pt/R$,,2024-04-12
Bebelier,8 pt/R$,,,,8 pt/R$,,2024-04-12
Mondaine,2 pt/R$,,,,2 pt/R$,,2024-04-12
Salinas,2 pt/R$,,,,2 pt/R$,,2024-04-12
Penalty,4 pt/R$,,,,4 pt/R$,,2024-04-12
Guess,2 pt/R$,,,,2 pt/R$,,2024-04-12
Mini In The Box,12 pt/€,,,,,,2024-04-12
Hertz,1 pt/R$,,,,1 pt/R$,,2024-04-12
MeuCopo,2 pt/R$,,,,2 pt/R$,,2024-04-12
Shiseido,3 pt/R$,,,,3 pt/R$,,2024-04-12
Fóssil,2 pt/R$,,,,2 pt/R$,,2024-04-12
New Balance,3 pt/R$,,,,3 pt/R$,,2024-04-12
Quero-Quero,1 pt/R$,,,,1 pt/R$,,2024-04-12
Ballantine's,2 pt/R$,,,,,2 pt/R$,2024-04-12
Budget,1 pt/R$,,,,1 pt/R$,,2024-04-12
Ellus,2 pt/R$,,,,2 pt/R$,,2024-04-12
Hoteis Deville,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-12
Richards,2 pt/R$,,,,2 pt/R$,,2024-04-12
Travel 365,3 pt/R$,,,,3 pt/R$,,2024-04-12
Viação Garcia,1 pt/R$,,,,1 pt/R$,,2024-04-12
Guanabara,5 pt/R$,,,,5 pt/R$,,2024-04-12
Creditas,1 pt/R$,,,,1 pt/R$,,2024-04-12
Holiday Inn Express,3 pt/U$,,,,,,2024-04-12
C2 Tours,2 pt/R$,,,,2 pt/R$,,2024-04-12
Simples Reserva,2 pt/R$,,,,2 pt/R$,,2024-04-12
Atalaia Noronha,2 pt/R$,,,,2 pt/R$,,2024-04-12
Absolut,2 pt/R$,,,,,2 pt/R$,2024-04-12
Julio Okubo,1 pt/R$,,,,1 pt/R$,,2024-04-12
Lolita,1 pt/R$,,,,1 pt/R$,,2024-04-12
Buddha Spa,2 pt/R$,,,,2 pt/R$,,2024-04-12
Época cosmésticos,2 pt/R$,,,,2 pt/R$,,2024-04-12
Fábula,2 pt/R$,,,,2 pt/R$,,2024-04-12
Microsoft 365 for Business,200 pt,,,,,,2024-04-12
Porto Faz,2 pt/R$,,,,2 pt/R$,,2024-04-12
Maria Filo,2 pt/R$,,,,2 pt/R$,,2024-04-12
Britânia,1 pt/R$,,,,,,2024-04-12
Viajar,2 pt/R$,,,,2 pt/R$,,2024-04-12
Polar,2 pt/R$,,,,,2 pt/R$,2024-04-12
Privé Hotéis e Parques,1 pt/R$,,,,1 pt/R$,,2024-04-12
Cadence,1 pt/R$,,,,1 pt/R$,,2024-04-12
"Quem disse, Berenice?",5 pt/R$,,,,5 pt/R$,,2024-04-12
Miolo,1 pt/R$,,,,1 pt/R$,,2024-04-12
Mercato,2 pt/R$,,,,2 pt/R$,,2024-04-12
Tailors Mind,4 pt/R$,,,,4 pt/R$,,2024-04-12
Hotel Indigo,2.5 pt/U$,,,,,,2024-04-12
Luck Receptivo (Salvador),5 pt/R$,,,,5 pt/R$,,2024-04-12
Sottile,1 pt/R$,,,,1 pt/R$,,2024-04-12
Philco,1 pt/R$,,,,,,2024-04-12
Meia Sola,2 pt/R$,,,,2 pt/R$,,2024-04-12
Oficina Reserva,1 pt/R$,,,,1 pt/R$,,2024-04-12
Agoda,8 pt/£,,,,,,2024-04-12
Wishin,2 pt/R$,,,,2 pt/R$,,2024-04-12
Pipooh,4 pt/R$,,,,4 pt/R$,,2024-04-12
Iplace,1 pt/R$,,,,,,2024-04-12
Go case,2 pt/R$,,,,2 pt/R$,,2024-04-12
Le Biscuit,2 pt/R$,,,,,,2024-04-12
Hostelworld,25 pt/£,,,,,,2024-04-12
TripChip,4 pt/R$,,,,4 pt/R$,,2024-04-12
Apoio Entregas,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-12
Multilaser,1 pt/R$,,,,,,2024-04-12
Airalo,15 pt/£,,,,,,2024-04-12
Quintess,3 pt/R$,,,,3 pt/R$,,2024-04-12
Choice Hotels,2.5 pt/U$,,,,,,2024-04-12
Home Angels,0.1 pt/R$,,,,0.1 pt/R$,,2024-04-12
Thule,1 pt/R$,,,,1 pt/R$,,2024-04-12
Yuool,2 pt/R$,,,,,2 pt/R$,2024-04-12
Nutty Bavarian,1 pt/R$,,,,1 pt/R$,,2024-04-12
Electrolux,1 pt/R$,,,,,,2024-04-12
VR Collezioni,2 pt/R$,,,,2 pt/R$,,2024-04-12
Bobstore,2 pt/R$,,,,2 pt/R$,,2024-04-12
InterContinental Hotels & Resorts,2.5 pt/U$,,,,,,2024-04-12
Vá de Táxi,1 pt/R$,,,,1 pt/R$,,2024-04-12
Johnnie Walker,2 pt/R$,,,,,2 pt/R$,2024-04-12
Kur Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-12
Allugator,1 pt/R$,,,,1 pt/R$,,2024-04-12
Travelux,2 pt/R$,,2 pt/R$,,,,2024-04-12
Wet n Wild,1 pt/R$,,,,1 pt/R$,,2024-04-12
Cachaçaria Nacional,2 pt/R$,,,,,2 pt/R$,2024-04-12
Luck Receptivo (João Pessoa),5 pt/R$,,,,5 pt/R$,,2024-04-12
CCleaner,80 pt/£,,,,,,2024-04-12
Malwee,3 pt/R$,,,,3 pt/R$,,2024-04-12
Ondas Praia Resort,1 pt/R$,,,,1 pt/R$,,2024-04-12
Webcontinental Marketplace,5 pt/R$,,,,,,2024-04-12
Park Sleep Fly,250 pt/U$,,,,,,2024-04-12
Buzios Beach Resort,1 pt/R$,,,,1 pt/R$,,2024-04-12
GetYourGuide,7 pt/£,,,,,,2024-04-12
Highstil,1 pt/R$,,,,1 pt/R$,,2024-04-12
Ciroc,2 pt/R$,,,,,2 pt/R$,2024-04-12
Tanqueray,2 pt/R$,,,,,2 pt/R$,2024-04-12
Câmbio Online,0.2 pt/R$,,,,0.2 pt/R$,,2024-04-12
Candlewood Suites,2.5 pt/U$,,,,,,2024-04-12
Crowne Plaza,2.5 pt/U$,,,,,,2024-04-12
MaxRacer,1 pt/R$,,,,1 pt/R$,,2024-04-12
Pet Paluche Box,1 pt/R$,,,,1 pt/R$,,2024-04-12
Aguativa Resort,2 pt/R$,,,,2 pt/R$,,2024-04-12
Gorila Shield,1 pt/R$,,,,,,2024-04-12
Lithos Galeria,2 pt/R$,,,,,2 pt/R$,2024-04-12
Perestroika,2 pt/R$,,,,2 pt/R$,,2024-04-12
Pado,2 pt/R$,,,,2 pt/R$,,2024-04-12
Jameson,2 pt/R$,,,,,2 pt/R$,2024-04-12
ESPN+,900 pt/U$,,,,,,2024-04-12
Hauskraft,2 pt/R$,,,,,2 pt/R$,2024-04-12
Key Design,1 pt/R$,,,,1 pt/R$,,2024-04-12
Next Seguro Viagem,7 pt/R$,,,,7 pt/R$,,2024-04-12
Sestini,1 pt/R$,,,,,,2024-04-12
Mercado Facil,1 pt/R$,,,,,,2024-04-12
Beefeater,2 pt/R$,,,,,2 pt/R$,2024-04-12
Hopper Nutrition,1 pt/R$,,,,1 pt/R$,,2024-04-12
Light In The Box,8 pt/€,,,,,,2024-04-12
Casa MinD,1 pt/R$,,,,1 pt/R$,,2024-04-12
Café Store,2 pt/R$,,,,,2 pt/R$,2024-04-12
Cutelaria Cimo,3 pt/R$,,,,3 pt/R$,,2024-04-12
Nars,3 pt/R$,,,,3 pt/R$,,2024-04-12
Extended Stay America,2.5 pt/U$,,,,,,2024-04-12
World Wine,2 pt/R$,,,,,2 pt/R$,2024-04-12
RDC Viagens,2 pt/R$,,,,2 pt/R$,,2024-04-12
Guoman Hotels,12 pt/£,,,,,,2024-04-12
Ketel One,2 pt/R$,,,,,2 pt/R$,2024-04-12
Wise UP,2 pt/R$,,,,2 pt/R$,,2024-04-12
Hot Beach,1 pt/R$,,,,1 pt/R$,,2024-04-12
Luck Receptivo - Recife,1 pt/R$,,,,1 pt/R$,,2024-04-12
Mormaii,1 pt/R$,,,,,,2024-04-12
Pet Paluche,1 pt/R$,,,,1 pt/R$,,2024-04-12
Bombay Herbs & Spices,2 pt/R$,,,,2 pt/R$,,2024-04-12
RVShare,2.5 pt/U$,,,,,,2024-04-12
Saint Paul,4 pt/R$,,,,4 pt/R$,,2024-04-12
Western,2 pt/R$,,,,,2 pt/R$,2024-04-12
Toymania,1 pt/R$,,,,,,2024-04-12
Transport For Wales,1 pt/£,,,,,,2024-04-12
Corel,3 pt/U$,,,,,,2024-04-12
Evan Evans Tours,7 pt/£,,,,,,2024-04-12
Grupo Dreams,2 pt/R$,,,,2 pt/R$,,2024-04-12
Lojas Mm,1 pt/R$,,,,,,2024-04-12
IHG,3 pt/U$,,,,,,2024-04-12
Go City,5 pt/£,,,,,,2024-04-12
trainline,1 pt/£,,,,,,2024-04-12
ATG Tickets,3 pt/£,,,,,,2024-04-12
Belong Be,2 pt/R$,,,,,2 pt/R$,2024-04-12
1Password,9 pt/U$,,,,,,2024-04-12
Big Bus Tours,10 pt/£,,,,,,2024-04-12
Gravia,1 pt/R$,,,,,,2024-04-12
Bioute,1 pt/R$,,,,,,2024-04-12
Clima Rio,1 pt/R$,,,,,,2024-04-12
Euro,1 pt/R$,,,,1 pt/R$,,2024-04-12
Hotel Nacional,1 pt/R$,,,,1 pt/R$,,2024-04-12
Harry Potter and the Cursed Child,5 pt/£,,,,,,2024-04-12
Lord Perfumaria,2 pt/R$,,,,2 pt/R$,,2024-04-12
The Clermont Hotel,12 pt/£,,,,,,2024-04-12
Candide,4 pt/R$,,,,,,2024-04-12
Dako,1 pt/R$,,,,1 pt/R$,,2024-04-12
National Express,4 pt/£,,,,,,2024-04-12
Klook,5 pt/£,,,,,,2024-04-12
Multimoveis,2 pt/R$,,,,,,2024-04-12
Todovino,1 pt/R$,,,,,,2024-04-12
Glam,3 pt/R$,,,,3 pt/R$,,2024-04-12
Monica Sanches,2 pt/R$,,,,2 pt/R$,,2024-04-12
iTunes Store,7 pt/€,,,,,,2024-04-12
Multi,2 pt/R$,,,,,2 pt/R$,2024-04-12
Decore Shop,1 pt/R$,,,,,,2024-04-12
NH Hotels,6 pt/£,,,,,,2024-04-12
Slow Beauty,2 pt/R$,,,,,2 pt/R$,2024-04-12
Salon Line,1 pt/R$,,,,,,2024-04-12
Tottenham Hotspur Stadium Tours,15 pt/£,,,,,,2024-04-12
Wish,3 pt/U$,,,,,,2024-04-12
Ticketmaster,1 pt/£,,,,,,2024-04-12
AttractionTickets.com,1 pt/£,,,,,,2024-04-12
First Step,1 pt/R$,,,,,1 pt/R$,2024-04-12
Simple Organic,2 pt/R$,,,,2 pt/R$,,2024-04-12
Bradesco Capitalização,2 pt/R$,,,,2 pt/R$,,2024-04-12
Minimal Club,4 pt/R$,,,,4 pt/R$,,2024-04-12
Macdonald Hotels,5 pt/£,,,,,,2024-04-12
Decanter,1 pt/R$,,,,1 pt/R$,,2024-04-12
HERO SEGUROS,6 pt/R$,,,,6 pt/R$,,2024-04-12
Isango!,6 pt/£,,,,,,2024-04-12
Best Western Hotels GB,4 pt/£,,,,,,2024-04-12
Kaspersky Lab,20 pt/£,,,,,,2024-04-12
Luck Receptivo Natal,5 pt/R$,,,,5 pt/R$,,2024-04-12
Cirilo Cabos,1 pt/R$,,,,,,2024-04-12
Travelodge,2 pt/£,,,,,,2024-04-12
The Montcalm Luxury Hotels,10 pt/£,,,,,,2024-04-12
Wembley Stadium Tours,10 pt/£,,,,,,2024-04-12
Barceló Hotels & Resorts,8 pt/€,,,,,,2024-04-12
BitDefender,20 pt/£,,,,,,2024-04-12
Hotel Du Vin,6 pt/£,,,,,,2024-04-12
G Adventures,6 pt/£,,,,,,2024-04-12
Discount London,5 pt/£,,,,,,2024-04-12
IBEROSTAR Hotels & Resorts,5 pt/£,,,,,,2024-04-12
Thistle Hotels,12 pt/£,,,,,,2024-04-12
Universal Assistance Seguros,6 pt/R$,,,,6 pt/R$,,2024-04-12
Santa Lolla,1 pt/R$,,,,,,2024-04-12
Tootbus,5 pt/£,,,,,,2024-04-12
Caesars Entertainment,5 pt/£,,,,,,2024-04-12
Calvin Klein Brasil,1 pt/R$,,,,,,2024-04-12
Hilton,4 pt/£,,,,,,2024-04-12
ropo®?,1 pt/R$,,,,1 pt/R$,,2024-04-12
Vale Holiday Parks,5 pt/£,,,,,,2024-04-12
SeaWorld Parks,2 pt/U$,,,,,,2024-04-12
Best Western,3 pt/U$,,,,,,2024-04-12
Hotel Gran Marquise,1 pt/R$,,,,1 pt/R$,,2024-04-12
Liga Vitória Seguros,30 pt/R$,,,,30 pt/R$,,2024-04-12
Eventim,1 pt/£,,,,,,2024-04-12
Time Center,1 pt/R$,,,,,,2024-04-12
See Tickets,1 pt/£,,,,,,2024-04-12
