Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,4 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,4 pt/R$,1 pt/R$,2024-04-17
Ponto,15 pt/R$,3 pt/R$,15 pt/R$,10 pt/R$,10 pt/R$,11 pt/R$,2024-04-17
Extra,15 pt/R$,3 pt/R$,3 pt/R$,15 pt/R$,8 pt/R$,11 pt/R$,2024-04-17
Magazine Luiza,3 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-17
Lojas Renner,6 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,6 pt/R$,2 pt/R$,2024-04-17
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-17
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-17
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-17
Camicado,18 pt/R$,1 pt/R$,18 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-17
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-17
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-17
Polishop,12 pt/R$,3 pt/R$,,12 pt/R$,,3 pt/R$,2024-04-17
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-17
Hoteis.com,7 pt/U$,7 pt/U$,,,4 pt/R$,1 pt/R$,2024-04-17
Natura,4 pt/R$,,4 pt/R$,,4 pt/R$,4 pt/R$,2024-04-17
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-17
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-17
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-17
Insider Store,14 pt/R$,,,,14 pt/R$,12 pt/R$,2024-04-17
Decolar,12 pt/R$,,,,12 pt/R$,1 pt/R$,2024-04-17
Portal das Malas,2 pt/R$,2 pt/R$,2 pt/R$,,1 pt/R$,,2024-04-17
Top Store,3 pt/R$,,2 pt/R$,3 pt/R$,1 pt/R$,,2024-04-17
Unidas,2 pt/R$,,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-17
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-17
Decathlon,8 pt/R$,,,,2 pt/R$,,2024-04-17
Rentcars,10 pt/U$,2 pt/R$,1 pt/R$,,10 pt/U$,,2024-04-17
Localiza,8 pt/R$,,,,8 pt/R$,,2024-04-17
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-17
Petlove Saúde,10 pt/R$,,6 pt/R$,,10 pt/R$,6 pt/R$,2024-04-17
Rentalcars,6 pt/U$,4 pt/U$,,,6 pt/U$,,2024-04-17
Samsung,1 pt/R$,,,,,,2024-04-17
Assist Card,12 pt/R$,,10 pt/R$,,12 pt/R$,,2024-04-17
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-17
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-17
Disney+,1731 pt,,,,,,2024-04-17
Farmacias App,4 pt/R$,,,,4 pt/R$,,2024-04-17
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-17
Beleza na web,7 pt/R$,,,,7 pt/R$,,2024-04-17
Boticário,7 pt/R$,,,,7 pt/R$,,2024-04-17
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-17
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-17
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-17
ABC da Construcao,1 pt/R$,,,,1 pt/R$,,2024-04-17
