Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Portal das Malas,2 pt/R$,2 pt/R$,2 pt/R$,,1 pt/R$,,2024-04-15
Top Store,3 pt/R$,,2 pt/R$,3 pt/R$,1 pt/R$,,2024-04-15
Unidas,6 pt/R$,,2 pt/R$,,2 pt/R$,6 pt/R$,2024-04-15
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-15
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-15
Rentcars,10 pt/U$,2 pt/R$,1 pt/R$,,10 pt/U$,,2024-04-15
Localiza,8 pt/R$,,,,8 pt/R$,,2024-04-15
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-15
Petlove Saúde,16 pt/R$,,6 pt/R$,,10 pt/R$,16 pt/R$,2024-04-15
Rentalcars,6 pt/U$,4 pt/U$,,,6 pt/U$,,2024-04-15
Samsung,1 pt/R$,,,,,,2024-04-15
Assist Card,17 pt/R$,,17 pt/R$,,12 pt/R$,,2024-04-15
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-15
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-15
Disney+,1731 pt,,,,,,2024-04-15
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-15
Farmacias App,15 pt/R$,,,,15 pt/R$,,2024-04-15
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-15
Boticário,3 pt/R$,,,,3 pt/R$,,2024-04-15
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-15
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-15
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-15
ABC da Construcao,12 pt/R$,,,,12 pt/R$,,2024-04-15
Uber,3 pt/R$,,,3 pt/R$,,,2024-04-15
Mistral,10 pt/R$,,,,10 pt/R$,1 pt/R$,2024-04-15
Forever Liss,8 pt/R$,,,,6 pt/R$,8 pt/R$,2024-04-15
Carrefour,1 pt/R$,,,,1 pt/R$,,2024-04-15
Bagaggio,2 pt/R$,,1 pt/R$,,2 pt/R$,,2024-04-15
Eudora,5 pt/R$,,,,5 pt/R$,,2024-04-15
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-15
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-15
Dudalina,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-15
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-15
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-15
John John,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-15
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-15
NordVPN,40 pt/U$,,,,,,2024-04-15
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-15
Individual,3 pt/R$,,3 pt/R$,,2 pt/R$,,2024-04-15
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-15
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-15
Sephora,1 pt/R$,,,,1 pt/R$,,2024-04-15
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-15
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-15
LE LIS,3 pt,,3 pt,,3 pt/R$,,2024-04-15
Bobo,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-15
Coffee Mais,15 pt/R$,,,,15 pt/R$,12 pt/R$,2024-04-15
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-15
Crocs,3 pt/R$,,,,3 pt/R$,,2024-04-15
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-15
Seus Ingressos,3 pt/R$,,,,3 pt/R$,2 pt/R$,2024-04-15
Samsonite,2 pt/R$,,,,2 pt/R$,,2024-04-15
Hotels.com,8 pt/U$,,,,,,2024-04-15
Pontos por Opiniões,250 pt,,250 pt,,,,2024-04-15
ClickBus,2 pt/R$,,,,2 pt/R$,,2024-04-15
Quitanda,2000 pt,,,,,2000 pt,2024-04-15
YvY,3 pt/R$,,,,3 pt/R$,2 pt/R$,2024-04-15
Klabin,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Consorcio Magalu,12 pt/R$,,,,12 pt/R$,,2024-04-15
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-15
Nespresso,2 pt/R$,,,,,2 pt/R$,2024-04-15
Amobeleza,1 pt/R$,,,,1 pt/R$,,2024-04-15
Ciclic,15 pt/R$,,,,15 pt/R$,,2024-04-15
Loccitane Au Bresil,1 pt/R$,,,,1 pt/R$,,2024-04-15
Gazin,2 pt/R$,,,,2 pt/R$,,2024-04-15
Airbnb,2 pt/£,,,,,,2024-04-15
Accor live Limitless,2 pt/R$,2 pt/R$,,,,,2024-04-15
Puket,1 pt/R$,,,,1 pt/R$,,2024-04-15
Microsoft Store,2 pt/U$,,,,,,2024-04-15
Luxury Loyalty,3 pt/R$,,,,2 pt/R$,,2024-04-15
Oceane,2 pt/R$,,,,2 pt/R$,,2024-04-15
Buser,4 pt/R$,,,,4 pt/R$,,2024-04-15
Pede Pronto,3 pt/R$,,,,3 pt/R$,,2024-04-15
Estoque,2 pt/R$,,2 pt/R$,,1 pt/R$,,2024-04-15
Panvel,1 pt/R$,,,,1 pt/R$,,2024-04-15
Havaianas,2 pt/R$,,,,2 pt/R$,,2024-04-15
GoDaddy,10 pt/U$,,,,,,2024-04-15
Abelha Rainha,3 pt/R$,,,,3 pt/R$,,2024-04-15
Loungerie,3 pt/R$,,,,3 pt/R$,,2024-04-15
Sousmile,15000 pt,,,,,15000 pt,2024-04-15
Kaligo,15 pt/U$,,,,15 pt/U$,,2024-04-15
Zissou,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-15
Marriott International,4 pt/U$,,,,,,2024-04-15
Viator,8 pt/U$,,,,,,2024-04-15
Beto Carrero World,4 pt/R$,,,,4 pt/R$,,2024-04-15
Asics,1 pt/R$,,,,1 pt/R$,,2024-04-15
CARREFOUR Mercado,5 pt/R$,,,,5 pt/R$,,2024-04-15
Foco,4 pt/R$,,,,4 pt/R$,,2024-04-15
Cabana Magazine,1 pt/R$,,,,1 pt/R$,,2024-04-15
Cruzeiros Agaxtur,2 pt/R$,,,,2 pt/R$,,2024-04-15
Hope,4 pt/R$,,,,4 pt/R$,,2024-04-15
Horas Mágicas,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Portallar,8 pt/R$,,,,8 pt/R$,,2024-04-15
Lego,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-15
Posthaus,10 pt/R$,,,,10 pt/R$,,2024-04-15
Quero Passagem,1 pt/R$,,,,1 pt/R$,,2024-04-15
Loccitane en Provence,1 pt/R$,,,,1 pt/R$,,2024-04-15
Dzarm,3 pt/R$,,,,3 pt/R$,,2024-04-15
eBay,0.5 pt/U$,,,,,,2024-04-15
Reservecar,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-15
Piatan Natural,14 pt/R$,,,,14 pt/R$,,2024-04-15
Liz,3 pt/R$,,,,3 pt/R$,,2024-04-15
Spicy,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-15
Cobasi,1 pt/R$,,,,,,2024-04-15
Top Móveis,1 pt/R$,,,,1 pt/R$,,2024-04-15
Ciclic Seguro Celular,4 pt/R$,,,,4 pt/R$,,2024-04-15
Studio Z,2 pt/R$,,,,2 pt/R$,,2024-04-15
Trocafy,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-15
Monte Carlo,1 pt/R$,,,,1 pt/R$,,2024-04-15
Oxford,2 pt/R$,,,,2 pt/R$,,2024-04-15
Supernosso,1 pt/R$,,,,1 pt/R$,,2024-04-15
Autodesk,3 pt/U$,,,,,,2024-04-15
Vila Galé,0.5 pt/R$,,,,,,2024-04-15
Marriott Bonvoy,0.33 pt/R$,0.33 pt/R$,,,,,2024-04-15
Allianz Travel,10 pt/R$,,,,10 pt/R$,,2024-04-15
Paramount+,350 pt,,,,,,2024-04-15
Umbro,2 pt/R$,,,,2 pt/R$,,2024-04-15
Fila,2 pt/R$,,,,2 pt/R$,,2024-04-15
McAfee.com,15 pt/U$,,,,,,2024-04-15
Surfshark,15 pt/U$,,,,,,2024-04-15
AVG,12 pt/U$,,,,,,2024-04-15
IntegralMedica,5 pt/R$,,,,5 pt/R$,,2024-04-15
Época Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-15
Reservations.com,5 pt/U$,,,,,,2024-04-15
Babbel,6 pt/U$,,,,,,2024-04-15
SHI,25000 pt,,,,,25000 pt,2024-04-15
Under Armour,1 pt/R$,,,,1 pt/R$,,2024-04-15
JBL,1 pt/R$,,,,1 pt/R$,,2024-04-15
Auto Compara,5000 pt,,,,,5000 pt,2024-04-15
Giuliana Flores,3 pt/R$,,,,3 pt/R$,,2024-04-15
Osklen,2 pt/R$,,,,2 pt/R$,,2024-04-15
Nomad,5 pt/U$,,,,,5 pt/U$,2024-04-15
Sixt,1 pt/R$,,,,1 pt/R$,,2024-04-15
Avast,4 pt/U$,,,,,,2024-04-15
Hoteis de Luxo Brasil,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-15
Café Orfeu,7 pt/R$,,,,3 pt/R$,,2024-04-15
Basicamente,4 pt/R$,,,,4 pt/R$,,2024-04-15
NordPass,20 pt/U$,,,,,,2024-04-15
Summerville,2 pt/R$,,,,2 pt/R$,,2024-04-15
Hope Resort,4 pt/R$,,,,4 pt/R$,,2024-04-15
Morana,3 pt/R$,,,,3 pt/R$,,2024-04-15
Holiday Inn,3 pt/U$,,,,,,2024-04-15
Tia Sônia,1 pt/R$,,,,1 pt/R$,,2024-04-15
La Pastina,2 pt/R$,,,,,2 pt/R$,2024-04-15
Bonjour Lingerie,6 pt/R$,,,,6 pt/R$,,2024-04-15
Easy Live,1 pt/R$,,,,1 pt/R$,,2024-04-15
Speedo,4 pt/R$,,,,4 pt/R$,,2024-04-15
Travelex,1 pt/U$,,,,1 pt/U$,,2024-04-15
Cafe Utam,2 pt/R$,,,,2 pt/R$,,2024-04-15
ALL-Accor Live Limitless,8 pt/£,,,,,,2024-04-15
WebContinental,1 pt/R$,,,,,,2024-04-15
CyberGhost VPN,20 pt/U$,,,,,,2024-04-15
Beep,1 pt/R$,,,,1 pt/R$,,2024-04-15
Chico Rei,1 pt/R$,,,,1 pt/R$,,2024-04-15
Império,1 pt/R$,,,,1 pt/R$,,2024-04-15
Nike,2 pt/R$,,,,2 pt/R$,,2024-04-15
Caesars Rewards,2 pt/U$,,,,,,2024-04-15
Oster,1 pt/R$,,,,1 pt/R$,,2024-04-15
Santista,2 pt/R$,,,,2 pt/R$,,2024-04-15
Chocolat Du Jour,2 pt/R$,,,,,2 pt/R$,2024-04-15
Guldi,1 pt/R$,,,,1 pt/R$,,2024-04-15
IFriend,2 pt/R$,2 pt/R$,,,,,2024-04-15
Grand Cru,2 pt/R$,,,,,2 pt/R$,2024-04-15
Sebastian Coffee,12 pt/R$,,,,12 pt/R$,,2024-04-15
Nutrify,5 pt/R$,,,,5 pt/R$,,2024-04-15
Ubisoft Store,1 pt/U$,,,,,,2024-04-15
Priority Pass,10 pt/U$,,,,,,2024-04-15
Gama Italy,2 pt/R$,,,,,2 pt/R$,2024-04-15
Loja Madesa,1 pt/R$,,,,1 pt/R$,,2024-04-15
Beach Park,10 pt/R$,,,,10 pt/R$,,2024-04-15
Avon,4 pt/R$,,,,4 pt/R$,,2024-04-15
Mizuno,1 pt/R$,,,,1 pt/R$,,2024-04-15
Olympikus,1 pt/R$,,,,1 pt/R$,,2024-04-15
Coliseu,2 pt/R$,,,,2 pt/R$,,2024-04-15
Seculus,17 pt/R$,,,,17 pt/R$,,2024-04-15
Beyoung,3 pt/R$,,,,3 pt/R$,,2024-04-15
Lojas Colombo,4 pt/R$,,,,,,2024-04-15
Utilplast,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Cestas Michelli,3 pt/R$,,,,3 pt/R$,,2024-04-15
Artex,1 pt/R$,,,,1 pt/R$,,2024-04-15
Basico.com,3 pt/R$,,,,3 pt/R$,,2024-04-15
Flormel,3 pt/R$,,,,3 pt/R$,,2024-04-15
Dream Fitness,1 pt/R$,,,,1 pt/R$,,2024-04-15
Radisson Hotels,4 pt/U$,,,,,,2024-04-15
Cervejabox,1 pt/R$,,,,1 pt/R$,,2024-04-15
CARE Natural Beauty,4 pt/R$,,,,4 pt/R$,,2024-04-15
avis,1 pt/R$,,,,1 pt/R$,,2024-04-15
Tiqets,6 pt/U$,,,,,,2024-04-15
Foxton,2 pt/R$,,,,2 pt/R$,,2024-04-15
Darkness,5 pt/R$,,,,5 pt/R$,,2024-04-15
Granado,1 pt/R$,,,,1 pt/R$,,2024-04-15
Baw Clothing,2 pt/R$,,,,2 pt/R$,,2024-04-15
Technos,2 pt/R$,,,,2 pt/R$,,2024-04-15
Bebelier,8 pt/R$,,,,8 pt/R$,,2024-04-15
Mondaine,2 pt/R$,,,,2 pt/R$,,2024-04-15
Salinas,2 pt/R$,,,,2 pt/R$,,2024-04-15
Guess,2 pt/R$,,,,2 pt/R$,,2024-04-15
Penalty,4 pt/R$,,,,4 pt/R$,,2024-04-15
Mini In The Box,12 pt/€,,,,,,2024-04-15
Hertz,1 pt/R$,,,,1 pt/R$,,2024-04-15
MeuCopo,2 pt/R$,,,,2 pt/R$,,2024-04-15
Shiseido,3 pt/R$,,,,3 pt/R$,,2024-04-15
New Balance,3 pt/R$,,,,3 pt/R$,,2024-04-15
Fóssil,2 pt/R$,,,,2 pt/R$,,2024-04-15
Quero-Quero,1 pt/R$,,,,1 pt/R$,,2024-04-15
Ballantine's,2 pt/R$,,,,,2 pt/R$,2024-04-15
Budget,1 pt/R$,,,,1 pt/R$,,2024-04-15
Ellus,2 pt/R$,,,,2 pt/R$,,2024-04-15
Hoteis Deville,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-15
Richards,2 pt/R$,,,,2 pt/R$,,2024-04-15
Travel 365,3 pt/R$,,,,3 pt/R$,,2024-04-15
Viação Garcia,1 pt/R$,,,,1 pt/R$,,2024-04-15
Holiday Inn Express,3 pt/U$,,,,,,2024-04-15
Guanabara,5 pt/R$,,,,5 pt/R$,,2024-04-15
Creditas,1 pt/R$,,,,1 pt/R$,,2024-04-15
C2 Tours,2 pt/R$,,,,2 pt/R$,,2024-04-15
Simples Reserva,2 pt/R$,,,,2 pt/R$,,2024-04-15
Atalaia Noronha,4 pt/R$,,,,4 pt/R$,,2024-04-15
Absolut,2 pt/R$,,,,,2 pt/R$,2024-04-15
Época cosmésticos,2 pt/R$,,,,2 pt/R$,,2024-04-15
Julio Okubo,1 pt/R$,,,,1 pt/R$,,2024-04-15
Lolita,1 pt/R$,,,,1 pt/R$,,2024-04-15
Microsoft 365 for Business,200 pt,,,,,,2024-04-15
Buddha Spa,2 pt/R$,,,,2 pt/R$,,2024-04-15
Fábula,2 pt/R$,,,,2 pt/R$,,2024-04-15
Porto Faz,2 pt/R$,,,,2 pt/R$,,2024-04-15
Britânia,1 pt/R$,,,,,,2024-04-15
Maria Filo,2 pt/R$,,,,2 pt/R$,,2024-04-15
Viajar,2 pt/R$,,,,2 pt/R$,,2024-04-15
Polar,2 pt/R$,,,,,2 pt/R$,2024-04-15
"Quem disse, Berenice?",3 pt/R$,,,,3 pt/R$,,2024-04-15
Cadence,1 pt/R$,,,,1 pt/R$,,2024-04-15
Privé Hotéis e Parques,1 pt/R$,,,,1 pt/R$,,2024-04-15
Miolo,1 pt/R$,,,,1 pt/R$,,2024-04-15
Mercato,2 pt/R$,,,,2 pt/R$,,2024-04-15
Tailors Mind,4 pt/R$,,,,4 pt/R$,,2024-04-15
Hotel Indigo,1.5 pt/U$,,,,,,2024-04-15
Luck Receptivo (Salvador),6 pt/R$,,,,6 pt/R$,,2024-04-15
Philco,1 pt/R$,,,,,,2024-04-15
Meia Sola,2 pt/R$,,,,2 pt/R$,,2024-04-15
Sottile,1 pt/R$,,,,1 pt/R$,,2024-04-15
Agoda,8 pt/£,,,,,,2024-04-15
Oficina Reserva,1 pt/R$,,,,1 pt/R$,,2024-04-15
Wishin,2 pt/R$,,,,2 pt/R$,,2024-04-15
Go case,2 pt/R$,,,,2 pt/R$,,2024-04-15
Pipooh,4 pt/R$,,,,4 pt/R$,,2024-04-15
Le Biscuit,2 pt/R$,,,,,,2024-04-15
Iplace,1 pt/R$,,,,,,2024-04-15
Airalo,15 pt/£,,,,,,2024-04-15
Hostelworld,25 pt/£,,,,,,2024-04-15
TripChip,6 pt/R$,,,,6 pt/R$,,2024-04-15
Apoio Entregas,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-15
Multilaser,1 pt/R$,,,,,,2024-04-15
Quintess,3 pt/R$,,,,3 pt/R$,,2024-04-15
Choice Hotels,2.5 pt/U$,,,,,,2024-04-15
Home Angels,0.1 pt/R$,,,,0.1 pt/R$,,2024-04-15
Thule,4 pt/R$,,,,4 pt/R$,,2024-04-15
Yuool,2 pt/R$,,,,,2 pt/R$,2024-04-15
Electrolux,1 pt/R$,,,,,,2024-04-15
Nutty Bavarian,1 pt/R$,,,,1 pt/R$,,2024-04-15
VR Collezioni,2 pt/R$,,,,2 pt/R$,,2024-04-15
Bobstore,2 pt/R$,,,,2 pt/R$,,2024-04-15
InterContinental Hotels & Resorts,1.5 pt/U$,,,,,,2024-04-15
Vá de Táxi,2 pt/R$,,,,2 pt/R$,,2024-04-15
Johnnie Walker,2 pt/R$,,,,,2 pt/R$,2024-04-15
Kur Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-15
Travelux,2 pt/R$,,2 pt/R$,,,,2024-04-15
Allugator,1 pt/R$,,,,1 pt/R$,,2024-04-15
Cachaçaria Nacional,2 pt/R$,,,,,2 pt/R$,2024-04-15
Wet n Wild,1 pt/R$,,,,1 pt/R$,,2024-04-15
Webcontinental Marketplace,5 pt/R$,,,,,,2024-04-15
GetYourGuide,7 pt/£,,,,,,2024-04-15
Luck Receptivo (João Pessoa),6 pt/R$,,,,6 pt/R$,,2024-04-15
CCleaner,80 pt/£,,,,,,2024-04-15
Malwee,3 pt/R$,,,,3 pt/R$,,2024-04-15
Ondas Praia Resort,1 pt/R$,,,,1 pt/R$,,2024-04-15
Park Sleep Fly,250 pt/U$,,,,,,2024-04-15
Buzios Beach Resort,1 pt/R$,,,,1 pt/R$,,2024-04-15
Câmbio Online,0.2 pt/R$,,,,0.2 pt/R$,,2024-04-15
Highstil,1 pt/R$,,,,1 pt/R$,,2024-04-15
Ciroc,2 pt/R$,,,,,2 pt/R$,2024-04-15
Tanqueray,2 pt/R$,,,,,2 pt/R$,2024-04-15
Aguativa Resort,2 pt/R$,,,,2 pt/R$,,2024-04-15
Candlewood Suites,1.5 pt/U$,,,,,,2024-04-15
Crowne Plaza,1.5 pt/U$,,,,,,2024-04-15
MaxRacer,1 pt/R$,,,,1 pt/R$,,2024-04-15
Pet Paluche Box,1 pt/R$,,,,1 pt/R$,,2024-04-15
Gorila Shield,1 pt/R$,,,,,,2024-04-15
Hauskraft,2 pt/R$,,,,,2 pt/R$,2024-04-15
Lithos Galeria,2 pt/R$,,,,,2 pt/R$,2024-04-15
Pado,2 pt/R$,,,,2 pt/R$,,2024-04-15
Perestroika,2 pt/R$,,,,2 pt/R$,,2024-04-15
Jameson,2 pt/R$,,,,,2 pt/R$,2024-04-15
ESPN+,900 pt/U$,,,,,,2024-04-15
Key Design,1 pt/R$,,,,1 pt/R$,,2024-04-15
Next Seguro Viagem,7 pt/R$,,,,7 pt/R$,,2024-04-15
Sestini,1 pt/R$,,,,,,2024-04-15
Hopper Nutrition,1 pt/R$,,,,1 pt/R$,,2024-04-15
Mercado Facil,1 pt/R$,,,,,,2024-04-15
Beefeater,2 pt/R$,,,,,2 pt/R$,2024-04-15
Light In The Box,8 pt/€,,,,,,2024-04-15
Café Store,2 pt/R$,,,,,2 pt/R$,2024-04-15
Casa MinD,1 pt/R$,,,,1 pt/R$,,2024-04-15
Cutelaria Cimo,3 pt/R$,,,,3 pt/R$,,2024-04-15
Nars,3 pt/R$,,,,3 pt/R$,,2024-04-15
Extended Stay America,2.5 pt/U$,,,,,,2024-04-15
World Wine,2 pt/R$,,,,,2 pt/R$,2024-04-15
RDC Viagens,2 pt/R$,,,,2 pt/R$,,2024-04-15
Guoman Hotels,12 pt/£,,,,,,2024-04-15
Ketel One,2 pt/R$,,,,,2 pt/R$,2024-04-15
Wise UP,2 pt/R$,,,,2 pt/R$,,2024-04-15
Hot Beach,1 pt/R$,,,,1 pt/R$,,2024-04-15
Luck Receptivo - Recife,6 pt/R$,,,,6 pt/R$,,2024-04-15
Mormaii,1 pt/R$,,,,,,2024-04-15
Pet Paluche,1 pt/R$,,,,1 pt/R$,,2024-04-15
RVShare,2.5 pt/U$,,,,,,2024-04-15
Western,2 pt/R$,,,,,2 pt/R$,2024-04-15
Bombay Herbs & Spices,2 pt/R$,,,,2 pt/R$,,2024-04-15
Toymania,2 pt/R$,,,,,,2024-04-15
Transport For Wales,5 pt/£,,,,,,2024-04-15
Saint Paul,4 pt/R$,,,,4 pt/R$,,2024-04-15
Corel,3 pt/U$,,,,,,2024-04-15
Evan Evans Tours,7 pt/£,,,,,,2024-04-15
Grupo Dreams,2 pt/R$,,,,2 pt/R$,,2024-04-15
Lojas Mm,1 pt/R$,,,,,,2024-04-15
IHG,3 pt/U$,,,,,,2024-04-15
trainline,1 pt/£,,,,,,2024-04-15
Go City,5 pt/£,,,,,,2024-04-15
ATG Tickets,3 pt/£,,,,,,2024-04-15
Gravia,1 pt/R$,,,,,,2024-04-15
1Password,9 pt/U$,,,,,,2024-04-15
Belong Be,2 pt/R$,,,,,2 pt/R$,2024-04-15
Big Bus Tours,10 pt/£,,,,,,2024-04-15
Clima Rio,1 pt/R$,,,,,,2024-04-15
Bioute,1 pt/R$,,,,,,2024-04-15
Euro,1 pt/R$,,,,1 pt/R$,,2024-04-15
Harry Potter and the Cursed Child,5 pt/£,,,,,,2024-04-15
Hotel Nacional,1 pt/R$,,,,1 pt/R$,,2024-04-15
Candide,4 pt/R$,,,,,,2024-04-15
The Clermont Hotel,12 pt/£,,,,,,2024-04-15
Lord Perfumaria,2 pt/R$,,,,2 pt/R$,,2024-04-15
Dako,1 pt/R$,,,,1 pt/R$,,2024-04-15
Multimoveis,2 pt/R$,,,,,,2024-04-15
National Express,4 pt/£,,,,,,2024-04-15
Klook,5 pt/£,,,,,,2024-04-15
Todovino,1 pt/R$,,,,,,2024-04-15
iTunes Store,7 pt/€,,,,,,2024-04-15
Glam,3 pt/R$,,,,3 pt/R$,,2024-04-15
Monica Sanches,2 pt/R$,,,,2 pt/R$,,2024-04-15
Decore Shop,1 pt/R$,,,,,,2024-04-15
Slow Beauty,2 pt/R$,,,,,2 pt/R$,2024-04-15
Multi,2 pt/R$,,,,,2 pt/R$,2024-04-15
NH Hotels,6 pt/£,,,,,,2024-04-15
AttractionTickets.com,1 pt/£,,,,,,2024-04-15
Salon Line,1 pt/R$,,,,,,2024-04-15
Tottenham Hotspur Stadium Tours,15 pt/£,,,,,,2024-04-15
Wish,3 pt/U$,,,,,,2024-04-15
Ticketmaster,1 pt/£,,,,,,2024-04-15
Simple Organic,2 pt/R$,,,,2 pt/R$,,2024-04-15
First Step,1 pt/R$,,,,,1 pt/R$,2024-04-15
Bradesco Capitalização,2 pt/R$,,,,2 pt/R$,,2024-04-15
Macdonald Hotels,5 pt/£,,,,,,2024-04-15
Isango!,6 pt/£,,,,,,2024-04-15
Luck Receptivo Natal,6 pt/R$,,,,6 pt/R$,,2024-04-15
Minimal Club,4 pt/R$,,,,4 pt/R$,,2024-04-15
Decanter,1 pt/R$,,,,1 pt/R$,,2024-04-15
HERO SEGUROS,12 pt/R$,,,,12 pt/R$,,2024-04-15
Best Western Hotels GB,4 pt/£,,,,,,2024-04-15
Kaspersky Lab,20 pt/£,,,,,,2024-04-15
The Montcalm Luxury Hotels,10 pt/£,,,,,,2024-04-15
Cirilo Cabos,1 pt/R$,,,,,,2024-04-15
Eventim,1 pt/£,,,,,,2024-04-15
Travelodge,2 pt/£,,,,,,2024-04-15
Wembley Stadium Tours,10 pt/£,,,,,,2024-04-15
Barceló Hotels & Resorts,8 pt/€,,,,,,2024-04-15
BitDefender,20 pt/£,,,,,,2024-04-15
Discount London,5 pt/£,,,,,,2024-04-15
IBEROSTAR Hotels & Resorts,5 pt/£,,,,,,2024-04-15
Hotel Du Vin,6 pt/£,,,,,,2024-04-15
G Adventures,6 pt/£,,,,,,2024-04-15
Thistle Hotels,12 pt/£,,,,,,2024-04-15
Santa Lolla,1 pt/R$,,,,,,2024-04-15
Tootbus,5 pt/£,,,,,,2024-04-15
Universal Assistance Seguros,22 pt/R$,,,,22 pt/R$,,2024-04-15
Caesars Entertainment,5 pt/£,,,,,,2024-04-15
Calvin Klein Brasil,1 pt/R$,,,,,,2024-04-15
Hilton,4 pt/£,,,,,,2024-04-15
SeaWorld Parks,2 pt/U$,,,,,,2024-04-15
Hotel Gran Marquise,1 pt/R$,,,,1 pt/R$,,2024-04-15
Liga Vitória Seguros,30 pt/R$,,,,30 pt/R$,,2024-04-15
ropo®?,1 pt/R$,,,,1 pt/R$,,2024-04-15
Vale Holiday Parks,5 pt/£,,,,,,2024-04-15
Best Western,3 pt/U$,,,,,,2024-04-15
See Tickets,1 pt/£,,,,,,2024-04-15
