Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,9 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,9 pt/R$,1 pt/R$,2024-04-15
Ponto,15 pt/R$,3 pt/R$,15 pt/R$,3 pt/R$,7 pt/R$,11 pt/R$,2024-04-15
Extra,8 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,8 pt/R$,1 pt/R$,2024-04-15
Magazine Luiza,5 pt/R$,3 pt/R$,1 pt/R$,5 pt/R$,2 pt/R$,1 pt/R$,2024-04-15
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-15
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-15
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-15
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-15
Camicado,3 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-15
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-15
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-15
Polishop,7 pt/R$,3 pt/R$,,3 pt/R$,,7 pt/R$,2024-04-15
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-15
Hoteis.com,7 pt/U$,7 pt/U$,,,4 pt/R$,4 pt/R$,2024-04-15
Natura,6 pt/R$,,4 pt/R$,,6 pt/R$,4 pt/R$,2024-04-15
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-15
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-15
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-15
Insider Store,14 pt/R$,,,,14 pt/R$,12 pt/R$,2024-04-15
Decolar,12 pt/R$,,,,12 pt/R$,1 pt/R$,2024-04-15
