Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,17 pt/R$,3 pt/R$,17 pt/R$,3 pt/R$,9 pt/R$,1 pt/R$,2024-04-09
Ponto,6 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,1 pt/R$,6 pt/R$,2024-04-09
Magazine Luiza,5 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,5 pt/R$,1 pt/R$,2024-04-09
Extra,8 pt/R$,3 pt/R$,3 pt/R$,6 pt/R$,8 pt/R$,5 pt/R$,2024-04-09
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-09
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-09
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-09
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-09
Camicado,3 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-09
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-09
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-09
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-09
Polishop,13 pt/R$,3 pt/R$,,13 pt/R$,,3 pt/R$,2024-04-09
Hoteis.com,7 pt/U$,7 pt/U$,,,1 pt/R$,4 pt/R$,2024-04-09
Natura,10 pt/R$,,4 pt/R$,,6 pt/R$,10 pt/R$,2024-04-09
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-09
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-09
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-09
Insider Store,10 pt/R$,,,,10 pt/R$,3 pt/R$,2024-04-09
Decolar,2 pt/R$,,,,2 pt/R$,1 pt/R$,2024-04-09
Portal das Malas,2 pt/R$,2 pt/R$,2 pt/R$,,1 pt/R$,,2024-04-09
Top Store,17 pt/R$,,17 pt/R$,3 pt/R$,1 pt/R$,,2024-04-09
Unidas,6 pt/R$,,2 pt/R$,,6 pt/R$,6 pt/R$,2024-04-09
Baianão,1 pt/R$,,,,1 pt/R$,,2024-04-09
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-09
Rentcars,2 pt/R$,2 pt/R$,1 pt/R$,,1 pt/R$,,2024-04-09
Localiza,10 pt/U$,,,,10 pt/U$,,2024-04-09
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-09
Petlove Saúde,6 pt/R$,,6 pt/R$,,6 pt/R$,6 pt/R$,2024-04-09
Rentalcars,6 pt/U$,4 pt/U$,,,6 pt/U$,,2024-04-09
Samsung,1 pt/R$,,,,,,2024-04-09
Assist Card,15 pt/R$,,15 pt/R$,,10 pt/R$,,2024-04-09
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-09
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-09
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-09
Farmacias App,4 pt/R$,,,,4 pt/R$,,2024-04-09
Disney+,1731 pt,,,,,,2024-04-09
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-09
Boticário,3 pt/R$,,,,3 pt/R$,,2024-04-09
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-09
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-09
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-09
ABC da Construcao,1 pt/R$,,,,1 pt/R$,,2024-04-09
Mistral,12 pt/R$,,,,1 pt/R$,12 pt/R$,2024-04-09
Forever Liss,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-09
Eudora,2 pt/R$,,,,2 pt/R$,,2024-04-09
Bagaggio,1 pt/R$,,1 pt/R$,,1 pt/R$,,2024-04-09
Carrefour,1 pt/R$,,,,1 pt/R$,,2024-04-09
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-09
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-09
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-09
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-09
Dudalina,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-09
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-09
John John,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-09
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-09
NordVPN,40 pt/U$,,,,,,2024-04-09
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-09
Individual,3 pt/R$,,3 pt/R$,,2 pt/R$,,2024-04-09
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-09
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-09
Sephora,7 pt/R$,,,,7 pt/R$,,2024-04-09
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-09
LE LIS,3 pt,,3 pt,,3 pt/R$,,2024-04-09
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-09
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-09
Coffee Mais,12 pt/R$,,,,5 pt/R$,12 pt/R$,2024-04-09
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-09
Crocs,3 pt/R$,,,,3 pt/R$,,2024-04-09
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-09
Seus Ingressos,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-09
Hotels.com,5 pt/U$,,,,,,2024-04-09
Samsonite,2 pt/R$,,,,2 pt/R$,,2024-04-09
Quitanda,2000 pt,,,,,2000 pt,2024-04-09
Pontos por Opiniões,250 pt,,250 pt,,,,2024-04-09
ClickBus,2 pt/R$,,,,2 pt/R$,,2024-04-09
Bobo,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-09
Klabin,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-09
Consorcio Magalu,10 pt/R$,,,,10 pt/R$,,2024-04-09
YvY,3 pt/R$,,,,3 pt/R$,2 pt/R$,2024-04-09
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-09
Nespresso,2 pt/R$,,,,,2 pt/R$,2024-04-09
Amobeleza,1 pt/R$,,,,1 pt/R$,,2024-04-09
Ciclic,4 pt/R$,,,,4 pt/R$,,2024-04-09
Loccitane Au Bresil,1 pt/R$,,,,1 pt/R$,,2024-04-09
Gazin,2 pt/R$,,,,2 pt/R$,,2024-04-09
Airbnb,2 pt/£,,,,,,2024-04-09
Puket,1 pt/R$,,,,1 pt/R$,,2024-04-09
