Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Sephora,1 pt/R$,,,,1 pt/R$,,2024-04-10
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-10
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-10
LE LIS,10 pt,,3 pt,,10 pt/R$,,2024-04-10
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-10
Coffee Mais,10 pt/R$,,,,10 pt/R$,4 pt/R$,2024-04-10
Crocs,10 pt/R$,,,,10 pt/R$,,2024-04-10
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-10
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
Seus Ingressos,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
Hotels.com,5 pt/U$,,,,,,2024-04-10
Samsonite,10 pt/R$,,,,10 pt/R$,,2024-04-10
Pontos por Opiniões,250 pt,,250 pt,,,,2024-04-10
Quitanda,2000 pt,,,,,2000 pt,2024-04-10
ClickBus,2 pt/R$,,,,2 pt/R$,,2024-04-10
Bobo,10 pt/R$,,3 pt/R$,,10 pt/R$,,2024-04-10
Klabin,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
YvY,10 pt/R$,,,,10 pt/R$,2 pt/R$,2024-04-10
Consorcio Magalu,12 pt/R$,,,,12 pt/R$,,2024-04-10
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-10
Nespresso,2 pt/R$,,,,,2 pt/R$,2024-04-10
Amobeleza,10 pt/R$,,,,10 pt/R$,,2024-04-10
Ciclic,10 pt/R$,,,,10 pt/R$,,2024-04-10
Loccitane Au Bresil,10 pt/R$,,,,10 pt/R$,,2024-04-10
Gazin,3 pt/R$,,,,2 pt/R$,,2024-04-10
Airbnb,2 pt/£,,,,,,2024-04-10
Accor live Limitless,2 pt/R$,2 pt/R$,,,,,2024-04-10
Puket,1 pt/R$,,,,1 pt/R$,,2024-04-10
Microsoft Store,2 pt/U$,,,,,,2024-04-10
Luxury Loyalty,3 pt/R$,,,,2 pt/R$,,2024-04-10
Oceane,2 pt/R$,,,,2 pt/R$,,2024-04-10
Buser,10 pt/R$,,,,10 pt/R$,,2024-04-10
Pede Pronto,3 pt/R$,,,,3 pt/R$,,2024-04-10
GoDaddy,10 pt/U$,,,,,,2024-04-10
Panvel,1 pt/R$,,,,1 pt/R$,,2024-04-10
Abelha Rainha,3 pt/R$,,,,3 pt/R$,,2024-04-10
Havaianas,2 pt/R$,,,,2 pt/R$,,2024-04-10
Estoque,2 pt/R$,,2 pt/R$,,1 pt/R$,,2024-04-10
Kaligo,15 pt/U$,,,,15 pt/U$,,2024-04-10
Loungerie,3 pt/R$,,,,3 pt/R$,,2024-04-10
Sousmile,15000 pt,,,,,15000 pt,2024-04-10
Zissou,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-10
Marriott International,4 pt/U$,,,,,,2024-04-10
Viator,5.5 pt/U$,,,,,,2024-04-10
Beto Carrero World,2 pt/R$,,,,2 pt/R$,,2024-04-10
Asics,1 pt/R$,,,,1 pt/R$,,2024-04-10
Foco,2 pt/R$,,,,2 pt/R$,,2024-04-10
CARREFOUR Mercado,1 pt/R$,,,,1 pt/R$,,2024-04-10
Cabana Magazine,5 pt/R$,,,,1 pt/R$,,2024-04-10
Cruzeiros Agaxtur,2 pt/R$,,,,2 pt/R$,,2024-04-10
Hope,10 pt/R$,,,,10 pt/R$,,2024-04-10
Horas Mágicas,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
Portallar,10 pt/R$,,,,10 pt/R$,,2024-04-10
Lego,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-10
Posthaus,10 pt/R$,,,,10 pt/R$,,2024-04-10
Loccitane en Provence,10 pt/R$,,,,10 pt/R$,,2024-04-10
Quero Passagem,1 pt/R$,,,,1 pt/R$,,2024-04-10
Dzarm,10 pt/R$,,,,10 pt/R$,,2024-04-10
eBay,0.5 pt/U$,,,,,,2024-04-10
Reservecar,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
Piatan Natural,10 pt/R$,,,,10 pt/R$,,2024-04-10
Liz,10 pt/R$,,,,10 pt/R$,,2024-04-10
Spicy,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-10
Cobasi,1 pt/R$,,,,,,2024-04-10
Top Móveis,1 pt/R$,,,,1 pt/R$,,2024-04-10
Ciclic Seguro Celular,4 pt/R$,,,,4 pt/R$,,2024-04-10
Studio Z,2 pt/R$,,,,2 pt/R$,,2024-04-10
Monte Carlo,1 pt/R$,,,,1 pt/R$,,2024-04-10
Trocafy,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
Oxford,10 pt/R$,,,,10 pt/R$,,2024-04-10
Supernosso,1 pt/R$,,,,1 pt/R$,,2024-04-10
Autodesk,3 pt/U$,,,,,,2024-04-10
Vila Galé,0.5 pt/R$,,,,,,2024-04-10
Paramount+,350 pt,,,,,,2024-04-10
Allianz Travel,4 pt/R$,,,,4 pt/R$,,2024-04-10
Umbro,2 pt/R$,,,,2 pt/R$,,2024-04-10
Marriott Bonvoy,0.33 pt/R$,0.33 pt/R$,,,,,2024-04-10
Fila,2 pt/R$,,,,2 pt/R$,,2024-04-10
Surfshark,15 pt/U$,,,,,,2024-04-10
AVG,12 pt/U$,,,,,,2024-04-10
McAfee.com,15 pt/U$,,,,,,2024-04-10
IntegralMedica,1 pt/R$,,,,1 pt/R$,,2024-04-10
Época Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-10
Babbel,6 pt/U$,,,,,,2024-04-10
SHI,25000 pt,,,,,25000 pt,2024-04-10
Reservations.com,5 pt/U$,,,,,,2024-04-10
Under Armour,1 pt/R$,,,,1 pt/R$,,2024-04-10
JBL,1 pt/R$,,,,1 pt/R$,,2024-04-10
Auto Compara,5000 pt,,,,,5000 pt,2024-04-10
Osklen,2 pt/R$,,,,2 pt/R$,,2024-04-10
Giuliana Flores,10 pt/R$,,,,10 pt/R$,,2024-04-10
Sixt,1 pt/R$,,,,1 pt/R$,,2024-04-10
Nomad,5 pt/U$,,,,,5 pt/U$,2024-04-10
Avast,12 pt/U$,,,,,,2024-04-10
Hoteis de Luxo Brasil,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-10
Café Orfeu,3 pt/R$,,,,3 pt/R$,,2024-04-10
Basicamente,10 pt/R$,,,,10 pt/R$,,2024-04-10
NordPass,20 pt/U$,,,,,,2024-04-10
Summerville,2 pt/R$,,,,2 pt/R$,,2024-04-10
Hope Resort,10 pt/R$,,,,10 pt/R$,,2024-04-10
Morana,10 pt/R$,,,,10 pt/R$,,2024-04-10
Holiday Inn,3 pt/U$,,,,,,2024-04-10
Tia Sônia,10 pt/R$,,,,10 pt/R$,,2024-04-10
La Pastina,2 pt/R$,,,,,2 pt/R$,2024-04-10
Bonjour Lingerie,10 pt/R$,,,,10 pt/R$,,2024-04-10
Speedo,4 pt/R$,,,,4 pt/R$,,2024-04-10
Easy Live,1 pt/R$,,,,1 pt/R$,,2024-04-10
Cafe Utam,10 pt/R$,,,,10 pt/R$,,2024-04-10
Travelex,1 pt/U$,,,,1 pt/U$,,2024-04-10
ALL-Accor Live Limitless,8 pt/£,,,,,,2024-04-10
WebContinental,3 pt/R$,,,,,,2024-04-10
CyberGhost VPN,20 pt/U$,,,,,,2024-04-10
Chico Rei,10 pt/R$,,,,10 pt/R$,,2024-04-10
Império,1 pt/R$,,,,1 pt/R$,,2024-04-10
Caesars Rewards,2 pt/U$,,,,,,2024-04-10
Beep,1 pt/R$,,,,1 pt/R$,,2024-04-10
Oster,1 pt/R$,,,,1 pt/R$,,2024-04-10
Santista,2 pt/R$,,,,2 pt/R$,,2024-04-10
Chocolat Du Jour,2 pt/R$,,,,,2 pt/R$,2024-04-10
Nike,10 pt/R$,,,,10 pt/R$,,2024-04-10
Guldi,1 pt/R$,,,,1 pt/R$,,2024-04-10
Grand Cru,2 pt/R$,,,,,2 pt/R$,2024-04-10
IFriend,2 pt/R$,2 pt/R$,,,,,2024-04-10
Sebastian Coffee,3 pt/R$,,,,3 pt/R$,,2024-04-10
Nutrify,1 pt/R$,,,,1 pt/R$,,2024-04-10
Ubisoft Store,1 pt/U$,,,,,,2024-04-10
Gama Italy,2 pt/R$,,,,,2 pt/R$,2024-04-10
Priority Pass,10 pt/U$,,,,,,2024-04-10
Loja Madesa,1 pt/R$,,,,1 pt/R$,,2024-04-10
Mizuno,1 pt/R$,,,,1 pt/R$,,2024-04-10
Avon,10 pt/R$,,,,10 pt/R$,,2024-04-10
Coliseu,2 pt/R$,,,,2 pt/R$,,2024-04-10
Seculus,2 pt/R$,,,,2 pt/R$,,2024-04-10
Beyoung,3 pt/R$,,,,3 pt/R$,,2024-04-10
Lojas Colombo,4 pt/R$,,,,,,2024-04-10
Utilplast,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
Beach Park,10 pt/R$,,,,10 pt/R$,,2024-04-10
Olympikus,1 pt/R$,,,,1 pt/R$,,2024-04-10
Basico.com,10 pt/R$,,,,10 pt/R$,,2024-04-10
Artex,1 pt/R$,,,,1 pt/R$,,2024-04-10
Cestas Michelli,10 pt/R$,,,,10 pt/R$,,2024-04-10
Flormel,10 pt/R$,,,,10 pt/R$,,2024-04-10
Dream Fitness,1 pt/R$,,,,1 pt/R$,,2024-04-10
Radisson Hotels,4 pt/U$,,,,,,2024-04-10
Cervejabox,1 pt/R$,,,,1 pt/R$,,2024-04-10
CARE Natural Beauty,10 pt/R$,,,,10 pt/R$,,2024-04-10
Foxton,2 pt/R$,,,,2 pt/R$,,2024-04-10
Darkness,1 pt/R$,,,,1 pt/R$,,2024-04-10
Tiqets,6 pt/U$,,,,,,2024-04-10
Baw Clothing,2 pt/R$,,,,2 pt/R$,,2024-04-10
Granado,1 pt/R$,,,,1 pt/R$,,2024-04-10
Technos,10 pt/R$,,,,10 pt/R$,,2024-04-10
avis,1 pt/R$,,,,1 pt/R$,,2024-04-10
Bebelier,8 pt/R$,,,,8 pt/R$,,2024-04-10
Mondaine,10 pt/R$,,,,10 pt/R$,,2024-04-10
Salinas,2 pt/R$,,,,2 pt/R$,,2024-04-10
Guess,2 pt/R$,,,,2 pt/R$,,2024-04-10
Penalty,4 pt/R$,,,,4 pt/R$,,2024-04-10
Mini In The Box,12 pt/€,,,,,,2024-04-10
MeuCopo,2 pt/R$,,,,2 pt/R$,,2024-04-10
Shiseido,3 pt/R$,,,,3 pt/R$,,2024-04-10
Fóssil,10 pt/R$,,,,10 pt/R$,,2024-04-10
Hertz,1 pt/R$,,,,1 pt/R$,,2024-04-10
New Balance,3 pt/R$,,,,3 pt/R$,,2024-04-10
Quero-Quero,1 pt/R$,,,,1 pt/R$,,2024-04-10
Budget,1 pt/R$,,,,1 pt/R$,,2024-04-10
Ballantine's,2 pt/R$,,,,,2 pt/R$,2024-04-10
Ellus,2 pt/R$,,,,2 pt/R$,,2024-04-10
Richards,2 pt/R$,,,,2 pt/R$,,2024-04-10
Viação Garcia,1 pt/R$,,,,1 pt/R$,,2024-04-10
Hoteis Deville,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-10
Travel 365,3 pt/R$,,,,3 pt/R$,,2024-04-10
Creditas,1 pt/R$,,,,1 pt/R$,,2024-04-10
Guanabara,5 pt/R$,,,,5 pt/R$,,2024-04-10
C2 Tours,2 pt/R$,,,,2 pt/R$,,2024-04-10
Holiday Inn Express,3 pt/U$,,,,,,2024-04-10
Simples Reserva,2 pt/R$,,,,2 pt/R$,,2024-04-10
Atalaia Noronha,10 pt/R$,,,,10 pt/R$,,2024-04-10
Absolut,2 pt/R$,,,,,2 pt/R$,2024-04-10
Julio Okubo,1 pt/R$,,,,1 pt/R$,,2024-04-10
Lolita,1 pt/R$,,,,1 pt/R$,,2024-04-10
Fábula,2 pt/R$,,,,2 pt/R$,,2024-04-10
Microsoft 365 for Business,200 pt,,,,,,2024-04-10
Buddha Spa,2 pt/R$,,,,2 pt/R$,,2024-04-10
Época cosmésticos,2 pt/R$,,,,2 pt/R$,,2024-04-10
Maria Filo,10 pt/R$,,,,10 pt/R$,,2024-04-10
Porto Faz,2 pt/R$,,,,2 pt/R$,,2024-04-10
Britânia,1 pt/R$,,,,,,2024-04-10
Viajar,2 pt/R$,,,,2 pt/R$,,2024-04-10
Polar,2 pt/R$,,,,,2 pt/R$,2024-04-10
Cadence,1 pt/R$,,,,1 pt/R$,,2024-04-10
Privé Hotéis e Parques,1 pt/R$,,,,1 pt/R$,,2024-04-10
Miolo,1 pt/R$,,,,1 pt/R$,,2024-04-10
Mercato,2 pt/R$,,,,2 pt/R$,,2024-04-10
"Quem disse, Berenice?",5 pt/R$,,,,5 pt/R$,,2024-04-10
Tailors Mind,4 pt/R$,,,,4 pt/R$,,2024-04-10
Luck Receptivo (Salvador),10 pt/R$,,,,10 pt/R$,,2024-04-10
Sottile,1 pt/R$,,,,1 pt/R$,,2024-04-10
Philco,1 pt/R$,,,,,,2024-04-10
Oficina Reserva,1 pt/R$,,,,1 pt/R$,,2024-04-10
Hotel Indigo,2.5 pt/U$,,,,,,2024-04-10
Meia Sola,2 pt/R$,,,,2 pt/R$,,2024-04-10
Wishin,2 pt/R$,,,,2 pt/R$,,2024-04-10
Agoda,8 pt/£,,,,,,2024-04-10
Iplace,1 pt/R$,,,,,,2024-04-10
Pipooh,4 pt/R$,,,,4 pt/R$,,2024-04-10
Go case,2 pt/R$,,,,2 pt/R$,,2024-04-10
Le Biscuit,2 pt/R$,,,,,,2024-04-10
TripChip,10 pt/R$,,,,10 pt/R$,,2024-04-10
Apoio Entregas,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-10
Multilaser,1 pt/R$,,,,,,2024-04-10
Hostelworld,25 pt/£,,,,,,2024-04-10
Airalo,15 pt/£,,,,,,2024-04-10
Quintess,10 pt/R$,,,,10 pt/R$,,2024-04-10
Choice Hotels,2.5 pt/U$,,,,,,2024-04-10
Home Angels,0.1 pt/R$,,,,0.1 pt/R$,,2024-04-10
Yuool,2 pt/R$,,,,,2 pt/R$,2024-04-10
Thule,1 pt/R$,,,,1 pt/R$,,2024-04-10
Nutty Bavarian,1 pt/R$,,,,1 pt/R$,,2024-04-10
VR Collezioni,2 pt/R$,,,,2 pt/R$,,2024-04-10
Electrolux,1 pt/R$,,,,,,2024-04-10
Bobstore,2 pt/R$,,,,2 pt/R$,,2024-04-10
InterContinental Hotels & Resorts,2.5 pt/U$,,,,,,2024-04-10
Kur Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-10
Allugator,1 pt/R$,,,,1 pt/R$,,2024-04-10
Johnnie Walker,2 pt/R$,,,,,2 pt/R$,2024-04-10
Vá de Táxi,1 pt/R$,,,,1 pt/R$,,2024-04-10
Wet n Wild,1 pt/R$,,,,1 pt/R$,,2024-04-10
Cachaçaria Nacional,2 pt/R$,,,,,2 pt/R$,2024-04-10
Luck Receptivo (João Pessoa),10 pt/R$,,,,10 pt/R$,,2024-04-10
Travelux,2 pt/R$,,2 pt/R$,,,,2024-04-10
Webcontinental Marketplace,5 pt/R$,,,,,,2024-04-10
CCleaner,80 pt/£,,,,,,2024-04-10
Ondas Praia Resort,1 pt/R$,,,,1 pt/R$,,2024-04-10
Malwee,3 pt/R$,,,,3 pt/R$,,2024-04-10
Park Sleep Fly,250 pt/U$,,,,,,2024-04-10
Buzios Beach Resort,1 pt/R$,,,,1 pt/R$,,2024-04-10
Highstil,1 pt/R$,,,,1 pt/R$,,2024-04-10
Ciroc,2 pt/R$,,,,,2 pt/R$,2024-04-10
GetYourGuide,7 pt/£,,,,,,2024-04-10
Tanqueray,2 pt/R$,,,,,2 pt/R$,2024-04-10
Câmbio Online,0.2 pt/R$,,,,0.2 pt/R$,,2024-04-10
Candlewood Suites,2.5 pt/U$,,,,,,2024-04-10
Crowne Plaza,2.5 pt/U$,,,,,,2024-04-10
MaxRacer,1 pt/R$,,,,1 pt/R$,,2024-04-10
Pet Paluche Box,1 pt/R$,,,,1 pt/R$,,2024-04-10
Gorila Shield,1 pt/R$,,,,,,2024-04-10
Lithos Galeria,2 pt/R$,,,,,2 pt/R$,2024-04-10
Perestroika,2 pt/R$,,,,2 pt/R$,,2024-04-10
Aguativa Resort,2 pt/R$,,,,2 pt/R$,,2024-04-10
Pado,2 pt/R$,,,,2 pt/R$,,2024-04-10
Jameson,2 pt/R$,,,,,2 pt/R$,2024-04-10
ESPN+,900 pt/U$,,,,,,2024-04-10
Key Design,1 pt/R$,,,,1 pt/R$,,2024-04-10
Next Seguro Viagem,7 pt/R$,,,,7 pt/R$,,2024-04-10
Hauskraft,2 pt/R$,,,,,2 pt/R$,2024-04-10
Sestini,1 pt/R$,,,,,,2024-04-10
Beefeater,2 pt/R$,,,,,2 pt/R$,2024-04-10
Hopper Nutrition,1 pt/R$,,,,1 pt/R$,,2024-04-10
Mercado Facil,1 pt/R$,,,,,,2024-04-10
Light In The Box,8 pt/€,,,,,,2024-04-10
Casa MinD,1 pt/R$,,,,1 pt/R$,,2024-04-10
Café Store,2 pt/R$,,,,,2 pt/R$,2024-04-10
Cutelaria Cimo,3 pt/R$,,,,3 pt/R$,,2024-04-10
Nars,3 pt/R$,,,,3 pt/R$,,2024-04-10
Extended Stay America,2.5 pt/U$,,,,,,2024-04-10
World Wine,2 pt/R$,,,,,2 pt/R$,2024-04-10
RDC Viagens,2 pt/R$,,,,2 pt/R$,,2024-04-10
Ketel One,2 pt/R$,,,,,2 pt/R$,2024-04-10
Guoman Hotels,12 pt/£,,,,,,2024-04-10
Hot Beach,1 pt/R$,,,,1 pt/R$,,2024-04-10
Wise UP,2 pt/R$,,,,2 pt/R$,,2024-04-10
Mormaii,1 pt/R$,,,,,,2024-04-10
Pet Paluche,10 pt/R$,,,,10 pt/R$,,2024-04-10
Luck Receptivo - Recife,10 pt/R$,,,,10 pt/R$,,2024-04-10
RVShare,2.5 pt/U$,,,,,,2024-04-10
Bombay Herbs & Spices,2 pt/R$,,,,2 pt/R$,,2024-04-10
Saint Paul,4 pt/R$,,,,4 pt/R$,,2024-04-10
Toymania,2 pt/R$,,,,,,2024-04-10
Corel,3 pt/U$,,,,,,2024-04-10
Evan Evans Tours,7 pt/£,,,,,,2024-04-10
Grupo Dreams,2 pt/R$,,,,2 pt/R$,,2024-04-10
Lojas Mm,1 pt/R$,,,,,,2024-04-10
trainline,1 pt/£,,,,,,2024-04-10
Transport For Wales,1 pt/£,,,,,,2024-04-10
Western,2 pt/R$,,,,,2 pt/R$,2024-04-10
Go City,5 pt/£,,,,,,2024-04-10
ATG Tickets,3 pt/£,,,,,,2024-04-10
Belong Be,2 pt/R$,,,,,2 pt/R$,2024-04-10
1Password,9 pt/U$,,,,,,2024-04-10
Big Bus Tours,10 pt/£,,,,,,2024-04-10
IHG,3 pt/U$,,,,,,2024-04-10
Gravia,1 pt/R$,,,,,,2024-04-10
Bioute,1 pt/R$,,,,,,2024-04-10
Clima Rio,1 pt/R$,,,,,,2024-04-10
Euro,10 pt/R$,,,,10 pt/R$,,2024-04-10
Hotel Nacional,1 pt/R$,,,,1 pt/R$,,2024-04-10
Harry Potter and the Cursed Child,5 pt/£,,,,,,2024-04-10
Lord Perfumaria,2 pt/R$,,,,2 pt/R$,,2024-04-10
Candide,4 pt/R$,,,,,,2024-04-10
Dako,1 pt/R$,,,,1 pt/R$,,2024-04-10
National Express,1 pt/£,,,,,,2024-04-10
Klook,5 pt/£,,,,,,2024-04-10
The Clermont Hotel,12 pt/£,,,,,,2024-04-10
Multimoveis,2 pt/R$,,,,,,2024-04-10
Todovino,1 pt/R$,,,,,,2024-04-10
iTunes Store,7 pt/€,,,,,,2024-04-10
Glam,3 pt/R$,,,,3 pt/R$,,2024-04-10
Monica Sanches,2 pt/R$,,,,2 pt/R$,,2024-04-10
Multi,2 pt/R$,,,,,2 pt/R$,2024-04-10
Decore Shop,1 pt/R$,,,,,,2024-04-10
Slow Beauty,2 pt/R$,,,,,2 pt/R$,2024-04-10
NH Hotels,6 pt/£,,,,,,2024-04-10
Salon Line,1 pt/R$,,,,,,2024-04-10
Tottenham Hotspur Stadium Tours,15 pt/£,,,,,,2024-04-10
Wish,3 pt/U$,,,,,,2024-04-10
AttractionTickets.com,1 pt/£,,,,,,2024-04-10
Ticketmaster,1 pt/£,,,,,,2024-04-10
Simple Organic,2 pt/R$,,,,2 pt/R$,,2024-04-10
Bradesco Capitalização,2 pt/R$,,,,2 pt/R$,,2024-04-10
First Step,1 pt/R$,,,,,1 pt/R$,2024-04-10
Minimal Club,4 pt/R$,,,,4 pt/R$,,2024-04-10
Decanter,1 pt/R$,,,,1 pt/R$,,2024-04-10
HERO SEGUROS,10 pt/R$,,,,10 pt/R$,,2024-04-10
Macdonald Hotels,5 pt/£,,,,,,2024-04-10
Best Western Hotels GB,4 pt/£,,,,,,2024-04-10
Isango!,6 pt/£,,,,,,2024-04-10
Luck Receptivo Natal,10 pt/R$,,,,10 pt/R$,,2024-04-10
Kaspersky Lab,20 pt/£,,,,,,2024-04-10
Cirilo Cabos,1 pt/R$,,,,,,2024-04-10
The Montcalm Luxury Hotels,10 pt/£,,,,,,2024-04-10
Barceló Hotels & Resorts,8 pt/€,,,,,,2024-04-10
G Adventures,6 pt/£,,,,,,2024-04-10
IBEROSTAR Hotels & Resorts,5 pt/£,,,,,,2024-04-10
Travelodge,2 pt/£,,,,,,2024-04-10
Thistle Hotels,12 pt/£,,,,,,2024-04-10
BitDefender,20 pt/£,,,,,,2024-04-10
Hotel Du Vin,6 pt/£,,,,,,2024-04-10
Discount London,5 pt/£,,,,,,2024-04-10
Wembley Stadium Tours,10 pt/£,,,,,,2024-04-10
Tootbus,5 pt/£,,,,,,2024-04-10
Universal Assistance Seguros,6 pt/R$,,,,6 pt/R$,,2024-04-10
Santa Lolla,1 pt/R$,,,,,,2024-04-10
Caesars Entertainment,5 pt/£,,,,,,2024-04-10
Calvin Klein Brasil,1 pt/R$,,,,,,2024-04-10
Hilton,4 pt/£,,,,,,2024-04-10
Vale Holiday Parks,5 pt/£,,,,,,2024-04-10
SeaWorld Parks,2 pt/U$,,,,,,2024-04-10
ropo®?,1 pt/R$,,,,1 pt/R$,,2024-04-10
Best Western,3 pt/U$,,,,,,2024-04-10
Hotel Gran Marquise,1 pt/R$,,,,1 pt/R$,,2024-04-10
Liga Vitória Seguros,30 pt/R$,,,,30 pt/R$,,2024-04-10
See Tickets,1 pt/£,,,,,,2024-04-10
Time Center,1 pt/R$,,,,,,2024-04-10
