Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,17 pt/R$,3 pt/R$,17 pt/R$,3 pt/R$,9 pt/R$,1 pt/R$,2024-04-10
Ponto,7 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,7 pt/R$,1 pt/R$,2024-04-10
Magazine Luiza,5 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,5 pt/R$,1 pt/R$,2024-04-10
Extra,8 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,8 pt/R$,5 pt/R$,2024-04-10
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-10
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-10
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-10
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
Camicado,10 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,10 pt/R$,1 pt/R$,2024-04-10
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-10
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-10
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-10
Polishop,13 pt/R$,3 pt/R$,,13 pt/R$,,7 pt/R$,2024-04-10
Hoteis.com,7 pt/U$,7 pt/U$,,,1 pt/R$,4 pt/R$,2024-04-10
Natura,6 pt/R$,,4 pt/R$,,6 pt/R$,4 pt/R$,2024-04-10
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-10
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-10
Insider Store,10 pt/R$,,,,10 pt/R$,3 pt/R$,2024-04-10
Decolar,10 pt/R$,,,,10 pt/R$,1 pt/R$,2024-04-10
Portal das Malas,17 pt/R$,2 pt/R$,17 pt/R$,,1 pt/R$,,2024-04-10
Top Store,17 pt/R$,,17 pt/R$,3 pt/R$,1 pt/R$,,2024-04-10
Unidas,6 pt/R$,,2 pt/R$,,6 pt/R$,6 pt/R$,2024-04-10
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-10
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-10
Rentcars,2 pt/R$,2 pt/R$,1 pt/R$,,1 pt/R$,,2024-04-10
Localiza,10 pt/U$,,,,10 pt/U$,,2024-04-10
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
Petlove Saúde,18 pt/R$,,6 pt/R$,,18 pt/R$,6 pt/R$,2024-04-10
Rentalcars,15 pt/U$,4 pt/U$,,,15 pt/U$,,2024-04-10
Samsung,1 pt/R$,,,,,,2024-04-10
Assist Card,17 pt/R$,,17 pt/R$,,10 pt/R$,,2024-04-10
CEA,10 pt/R$,,,,10 pt/R$,,2024-04-10
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-10
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-10
Disney+,1731 pt,,,,,,2024-04-10
Farmacias App,10 pt/R$,,,,10 pt/R$,,2024-04-10
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-10
Boticário,7 pt/R$,,,,7 pt/R$,,2024-04-10
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-10
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-10
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-10
ABC da Construcao,10 pt/R$,,,,10 pt/R$,,2024-04-10
Uber,3 pt/R$,,,3 pt/R$,,,2024-04-10
Mistral,12 pt/R$,,,,10 pt/R$,12 pt/R$,2024-04-10
Forever Liss,10 pt/R$,,,,10 pt/R$,2 pt/R$,2024-04-10
Bagaggio,1 pt/R$,,1 pt/R$,,1 pt/R$,,2024-04-10
Eudora,2 pt/R$,,,,2 pt/R$,,2024-04-10
Carrefour,1 pt/R$,,,,1 pt/R$,,2024-04-10
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-10
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-10
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-10
Dudalina,17 pt/R$,,17 pt/R$,,10 pt/R$,,2024-04-10
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-10
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-10
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-10
John John,17 pt/R$,,17 pt/R$,,10 pt/R$,,2024-04-10
NordVPN,40 pt/U$,,,,,,2024-04-10
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-10
Individual,10 pt/R$,,3 pt/R$,,10 pt/R$,,2024-04-10
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-10
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-10
