Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,17 pt/R$,3 pt/R$,17 pt/R$,10 pt/R$,9 pt/R$,1 pt/R$,2024-04-11
Ponto,7 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,7 pt/R$,1 pt/R$,2024-04-11
Magazine Luiza,5 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,5 pt/R$,1 pt/R$,2024-04-11
Extra,8 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,8 pt/R$,5 pt/R$,2024-04-11
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-11
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-11
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-11
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-11
Camicado,3 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-11
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-11
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-11
Polishop,7 pt/R$,3 pt/R$,,3 pt/R$,,7 pt/R$,2024-04-11
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-11
Hoteis.com,7 pt/U$,7 pt/U$,,,1 pt/R$,4 pt/R$,2024-04-11
Natura,6 pt/R$,,4 pt/R$,,6 pt/R$,4 pt/R$,2024-04-11
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-11
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-11
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-11
Insider Store,15 pt/R$,,,,10 pt/R$,15 pt/R$,2024-04-11
Decolar,3 pt/R$,,,,2 pt/R$,3 pt/R$,2024-04-11
Portal das Malas,17 pt/R$,2 pt/R$,17 pt/R$,,1 pt/R$,,2024-04-11
Top Store,17 pt/R$,,17 pt/R$,3 pt/R$,1 pt/R$,,2024-04-11
Unidas,6 pt/R$,,2 pt/R$,,6 pt/R$,6 pt/R$,2024-04-11
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-11
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-11
Rentcars,2 pt/R$,2 pt/R$,1 pt/R$,,1 pt/R$,,2024-04-11
Localiza,10 pt/U$,,,,10 pt/U$,,2024-04-11
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-11
Petlove Saúde,18 pt/R$,,6 pt/R$,,18 pt/R$,16 pt/R$,2024-04-11
Rentalcars,15 pt/U$,4 pt/U$,,,15 pt/U$,,2024-04-11
Samsung,1 pt/R$,,,,,,2024-04-11
Assist Card,17 pt/R$,,17 pt/R$,,10 pt/R$,,2024-04-11
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-11
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-11
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-11
Disney+,1731 pt,,,,,,2024-04-11
Farmacias App,4 pt/R$,,,,4 pt/R$,,2024-04-11
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-11
Boticário,7 pt/R$,,,,7 pt/R$,,2024-04-11
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-11
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-11
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-11
ABC da Construcao,1 pt/R$,,,,1 pt/R$,,2024-04-11
Uber,3 pt/R$,,,3 pt/R$,,,2024-04-11
Mistral,12 pt/R$,,,,1 pt/R$,12 pt/R$,2024-04-11
Forever Liss,8 pt/R$,,,,2 pt/R$,8 pt/R$,2024-04-11
Bagaggio,1 pt/R$,,1 pt/R$,,1 pt/R$,,2024-04-11
Eudora,5 pt/R$,,,,5 pt/R$,,2024-04-11
Carrefour,7 pt/R$,,,,7 pt/R$,,2024-04-11
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-11
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-11
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-11
Dudalina,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-11
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-11
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-11
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-11
John John,17 pt/R$,,17 pt/R$,,3 pt/R$,,2024-04-11
NordVPN,40 pt/U$,,,,,,2024-04-11
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-11
Individual,3 pt/R$,,3 pt/R$,,2 pt/R$,,2024-04-11
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-11
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-11
Sephora,1 pt/R$,,,,1 pt/R$,,2024-04-11
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-11
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-11
LE LIS,3 pt,,3 pt,,3 pt/R$,,2024-04-11
Bobo,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-11
Coffee Mais,12 pt/R$,,,,5 pt/R$,12 pt/R$,2024-04-11
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-11
Crocs,10 pt/R$,,,,10 pt/R$,,2024-04-11
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-11
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-11
Seus Ingressos,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-11
Hotels.com,5 pt/U$,,,,,,2024-04-11
Samsonite,2 pt/R$,,,,2 pt/R$,,2024-04-11
