Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Consorcio Magalu,12 pt/R$,,,,12 pt/R$,,2024-04-16
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-16
Nespresso,2 pt/R$,,,,,2 pt/R$,2024-04-16
Amobeleza,1 pt/R$,,,,1 pt/R$,,2024-04-16
Ciclic,15 pt/R$,,,,15 pt/R$,,2024-04-16
Loccitane Au Bresil,1 pt/R$,,,,1 pt/R$,,2024-04-16
Gazin,3 pt/R$,,,,2 pt/R$,,2024-04-16
Airbnb,2 pt/£,,,,,,2024-04-16
Accor live Limitless,2 pt/R$,2 pt/R$,,,,,2024-04-16
Microsoft Store,2 pt/U$,,,,,,2024-04-16
Puket,6 pt/R$,,,,1 pt/R$,,2024-04-16
Luxury Loyalty,3 pt/R$,,,,2 pt/R$,,2024-04-16
Buser,4 pt/R$,,,,4 pt/R$,,2024-04-16
Oceane,2 pt/R$,,,,2 pt/R$,,2024-04-16
Pede Pronto,3 pt/R$,,,,3 pt/R$,,2024-04-16
Estoque,2 pt/R$,,2 pt/R$,,1 pt/R$,,2024-04-16
Panvel,1 pt/R$,,,,1 pt/R$,,2024-04-16
GoDaddy,10 pt/U$,,,,,,2024-04-16
Havaianas,2 pt/R$,,,,2 pt/R$,,2024-04-16
Loungerie,3 pt/R$,,,,3 pt/R$,,2024-04-16
Sousmile,15000 pt,,,,,15000 pt,2024-04-16
Abelha Rainha,3 pt/R$,,,,3 pt/R$,,2024-04-16
Kaligo,15 pt/U$,,,,15 pt/U$,,2024-04-16
Zissou,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-16
Marriott International,4 pt/U$,,,,,,2024-04-16
Viator,8 pt/U$,,,,,,2024-04-16
Beto Carrero World,4 pt/R$,,,,4 pt/R$,,2024-04-16
CARREFOUR Mercado,1 pt/R$,,,,1 pt/R$,,2024-04-16
Asics,1 pt/R$,,,,1 pt/R$,,2024-04-16
Foco,4 pt/R$,,,,4 pt/R$,,2024-04-16
Cabana Magazine,1 pt/R$,,,,1 pt/R$,,2024-04-16
Hope,4 pt/R$,,,,4 pt/R$,,2024-04-16
Cruzeiros Agaxtur,2 pt/R$,,,,2 pt/R$,,2024-04-16
Horas Mágicas,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-16
Portallar,8 pt/R$,,,,8 pt/R$,,2024-04-16
Lego,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-16
Posthaus,10 pt/R$,,,,10 pt/R$,,2024-04-16
Quero Passagem,1 pt/R$,,,,1 pt/R$,,2024-04-16
Loccitane en Provence,1 pt/R$,,,,1 pt/R$,,2024-04-16
eBay,0.5 pt/U$,,,,,,2024-04-16
Dzarm,3 pt/R$,,,,3 pt/R$,,2024-04-16
Piatan Natural,14 pt/R$,,,,14 pt/R$,,2024-04-16
Reservecar,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-16
Liz,3 pt/R$,,,,3 pt/R$,,2024-04-16
Spicy,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-16
Cobasi,1 pt/R$,,,,,,2024-04-16
Studio Z,2 pt/R$,,,,2 pt/R$,,2024-04-16
Trocafy,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-16
Top Móveis,1 pt/R$,,,,1 pt/R$,,2024-04-16
Ciclic Seguro Celular,4 pt/R$,,,,4 pt/R$,,2024-04-16
Monte Carlo,1 pt/R$,,,,1 pt/R$,,2024-04-16
Oxford,2 pt/R$,,,,2 pt/R$,,2024-04-16
Autodesk,3 pt/U$,,,,,,2024-04-16
Supernosso,1 pt/R$,,,,1 pt/R$,,2024-04-16
Vila Galé,0.5 pt/R$,,,,,,2024-04-16
Allianz Travel,10 pt/R$,,,,10 pt/R$,,2024-04-16
Marriott Bonvoy,0.33 pt/R$,0.33 pt/R$,,,,,2024-04-16
Paramount+,350 pt,,,,,,2024-04-16
Umbro,2 pt/R$,,,,2 pt/R$,,2024-04-16
McAfee.com,15 pt/U$,,,,,,2024-04-16
Fila,2 pt/R$,,,,2 pt/R$,,2024-04-16
Surfshark,15 pt/U$,,,,,,2024-04-16
AVG,12 pt/U$,,,,,,2024-04-16
IntegralMedica,5 pt/R$,,,,5 pt/R$,,2024-04-16
Época Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-16
Reservations.com,5 pt/U$,,,,,,2024-04-16
Babbel,6 pt/U$,,,,,,2024-04-16
SHI,25000 pt,,,,,25000 pt,2024-04-16
JBL,4 pt/R$,,,,4 pt/R$,,2024-04-16
Under Armour,1 pt/R$,,,,1 pt/R$,,2024-04-16
Auto Compara,5000 pt,,,,,5000 pt,2024-04-16
Giuliana Flores,3 pt/R$,,,,3 pt/R$,,2024-04-16
Osklen,2 pt/R$,,,,2 pt/R$,,2024-04-16
Nomad,5 pt/U$,,,,,5 pt/U$,2024-04-16
Sixt,1 pt/R$,,,,1 pt/R$,,2024-04-16
Avast,4 pt/U$,,,,,,2024-04-16
Basicamente,4 pt/R$,,,,4 pt/R$,,2024-04-16
Café Orfeu,6 pt/R$,,,,3 pt/R$,,2024-04-16
Hoteis de Luxo Brasil,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-16
NordPass,20 pt/U$,,,,,,2024-04-16
Summerville,2 pt/R$,,,,2 pt/R$,,2024-04-16
Hope Resort,4 pt/R$,,,,4 pt/R$,,2024-04-16
Morana,3 pt/R$,,,,3 pt/R$,,2024-04-16
Holiday Inn,3 pt/U$,,,,,,2024-04-16
Tia Sônia,1 pt/R$,,,,1 pt/R$,,2024-04-16
La Pastina,2 pt/R$,,,,,2 pt/R$,2024-04-16
Bonjour Lingerie,6 pt/R$,,,,6 pt/R$,,2024-04-16
Easy Live,1 pt/R$,,,,1 pt/R$,,2024-04-16
Speedo,4 pt/R$,,,,4 pt/R$,,2024-04-16
Travelex,1 pt/U$,,,,1 pt/U$,,2024-04-16
Cafe Utam,2 pt/R$,,,,2 pt/R$,,2024-04-16
ALL-Accor Live Limitless,8 pt/£,,,,,,2024-04-16
WebContinental,1 pt/R$,,,,,,2024-04-16
CyberGhost VPN,20 pt/U$,,,,,,2024-04-16
Nike,2 pt/R$,,,,2 pt/R$,,2024-04-16
Beep,7 pt/R$,,,,7 pt/R$,,2024-04-16
Chico Rei,1 pt/R$,,,,1 pt/R$,,2024-04-16
Império,1 pt/R$,,,,1 pt/R$,,2024-04-16
Caesars Rewards,2 pt/U$,,,,,,2024-04-16
Santista,2 pt/R$,,,,2 pt/R$,,2024-04-16
Chocolat Du Jour,8 pt/R$,,,,,8 pt/R$,2024-04-16
Oster,1 pt/R$,,,,1 pt/R$,,2024-04-16
Grand Cru,2 pt/R$,,,,,2 pt/R$,2024-04-16
Guldi,1 pt/R$,,,,1 pt/R$,,2024-04-16
IFriend,2 pt/R$,2 pt/R$,,,,,2024-04-16
Nutrify,5 pt/R$,,,,5 pt/R$,,2024-04-16
Sebastian Coffee,12 pt/R$,,,,12 pt/R$,,2024-04-16
Ubisoft Store,1 pt/U$,,,,,,2024-04-16
Beach Park,10 pt/R$,,,,10 pt/R$,,2024-04-16
Loja Madesa,1 pt/R$,,,,1 pt/R$,,2024-04-16
Priority Pass,10 pt/U$,,,,,,2024-04-16
Gama Italy,2 pt/R$,,,,,2 pt/R$,2024-04-16
Avon,6 pt/R$,,,,6 pt/R$,,2024-04-16
Mizuno,1 pt/R$,,,,1 pt/R$,,2024-04-16
Olympikus,1 pt/R$,,,,1 pt/R$,,2024-04-16
Lojas Colombo,4 pt/R$,,,,,,2024-04-16
Seculus,2 pt/R$,,,,2 pt/R$,,2024-04-16
Coliseu,2 pt/R$,,,,2 pt/R$,,2024-04-16
Beyoung,3 pt/R$,,,,3 pt/R$,,2024-04-16
Utilplast,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-16
Cestas Michelli,3 pt/R$,,,,3 pt/R$,,2024-04-16
Artex,1 pt/R$,,,,1 pt/R$,,2024-04-16
Basico.com,3 pt/R$,,,,3 pt/R$,,2024-04-16
Flormel,3 pt/R$,,,,3 pt/R$,,2024-04-16
Dream Fitness,1 pt/R$,,,,1 pt/R$,,2024-04-16
Radisson Hotels,10 pt/U$,,,,,,2024-04-16
Cervejabox,1 pt/R$,,,,1 pt/R$,,2024-04-16
avis,1 pt/R$,,,,1 pt/R$,,2024-04-16
CARE Natural Beauty,4 pt/R$,,,,4 pt/R$,,2024-04-16
Tiqets,6 pt/U$,,,,,,2024-04-16
Darkness,5 pt/R$,,,,5 pt/R$,,2024-04-16
Foxton,2 pt/R$,,,,2 pt/R$,,2024-04-16
Granado,1 pt/R$,,,,1 pt/R$,,2024-04-16
Baw Clothing,2 pt/R$,,,,2 pt/R$,,2024-04-16
Technos,2 pt/R$,,,,2 pt/R$,,2024-04-16
Bebelier,8 pt/R$,,,,8 pt/R$,,2024-04-16
Salinas,2 pt/R$,,,,2 pt/R$,,2024-04-16
Guess,2 pt/R$,,,,2 pt/R$,,2024-04-16
Mondaine,2 pt/R$,,,,2 pt/R$,,2024-04-16
Penalty,4 pt/R$,,,,4 pt/R$,,2024-04-16
Mini In The Box,12 pt/€,,,,,,2024-04-16
Hertz,1 pt/R$,,,,1 pt/R$,,2024-04-16
New Balance,3 pt/R$,,,,3 pt/R$,,2024-04-16
Shiseido,3 pt/R$,,,,3 pt/R$,,2024-04-16
MeuCopo,2 pt/R$,,,,2 pt/R$,,2024-04-16
Fóssil,2 pt/R$,,,,2 pt/R$,,2024-04-16
Quero-Quero,1 pt/R$,,,,1 pt/R$,,2024-04-16
Ballantine's,8 pt/R$,,,,,8 pt/R$,2024-04-16
Budget,1 pt/R$,,,,1 pt/R$,,2024-04-16
Viação Garcia,1 pt/R$,,,,1 pt/R$,,2024-04-16
Ellus,2 pt/R$,,,,2 pt/R$,,2024-04-16
Hoteis Deville,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-16
Richards,2 pt/R$,,,,2 pt/R$,,2024-04-16
Travel 365,3 pt/R$,,,,3 pt/R$,,2024-04-16
Guanabara,5 pt/R$,,,,5 pt/R$,,2024-04-16
Holiday Inn Express,3 pt/U$,,,,,,2024-04-16
Creditas,1 pt/R$,,,,1 pt/R$,,2024-04-16
C2 Tours,2 pt/R$,,,,2 pt/R$,,2024-04-16
Microsoft 365 for Business,200 pt,,,,,,2024-04-16
Simples Reserva,2 pt/R$,,,,2 pt/R$,,2024-04-16
Absolut,8 pt/R$,,,,,8 pt/R$,2024-04-16
Atalaia Noronha,4 pt/R$,,,,4 pt/R$,,2024-04-16
Época cosmésticos,2 pt/R$,,,,2 pt/R$,,2024-04-16
Buddha Spa,2 pt/R$,,,,2 pt/R$,,2024-04-16
Julio Okubo,1 pt/R$,,,,1 pt/R$,,2024-04-16
Fábula,2 pt/R$,,,,2 pt/R$,,2024-04-16
Lolita,1 pt/R$,,,,1 pt/R$,,2024-04-16
Maria Filo,2 pt/R$,,,,2 pt/R$,,2024-04-16
Porto Faz,2 pt/R$,,,,2 pt/R$,,2024-04-16
Britânia,1 pt/R$,,,,,,2024-04-16
Viajar,2 pt/R$,,,,2 pt/R$,,2024-04-16
Polar,2 pt/R$,,,,,2 pt/R$,2024-04-16
"Quem disse, Berenice?",3 pt/R$,,,,3 pt/R$,,2024-04-16
Cadence,1 pt/R$,,,,1 pt/R$,,2024-04-16
Privé Hotéis e Parques,1 pt/R$,,,,1 pt/R$,,2024-04-16
Miolo,1 pt/R$,,,,1 pt/R$,,2024-04-16
Luck Receptivo (Salvador),6 pt/R$,,,,6 pt/R$,,2024-04-16
Mercato,2 pt/R$,,,,2 pt/R$,,2024-04-16
Pipooh,4 pt/R$,,,,4 pt/R$,,2024-04-16
Tailors Mind,4 pt/R$,,,,4 pt/R$,,2024-04-16
Hotel Indigo,1.5 pt/U$,,,,,,2024-04-16
Philco,1 pt/R$,,,,,,2024-04-16
Meia Sola,2 pt/R$,,,,2 pt/R$,,2024-04-16
Sottile,3 pt/R$,,,,3 pt/R$,,2024-04-16
Agoda,8 pt/£,,,,,,2024-04-16
Le Biscuit,2 pt/R$,,,,,,2024-04-16
Oficina Reserva,1 pt/R$,,,,1 pt/R$,,2024-04-16
Wishin,2 pt/R$,,,,2 pt/R$,,2024-04-16
Go case,2 pt/R$,,,,2 pt/R$,,2024-04-16
Iplace,1 pt/R$,,,,,,2024-04-16
Airalo,15 pt/£,,,,,,2024-04-16
Hostelworld,25 pt/£,,,,,,2024-04-16
TripChip,6 pt/R$,,,,6 pt/R$,,2024-04-16
Multilaser,1 pt/R$,,,,,,2024-04-16
Apoio Entregas,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-16
Quintess,3 pt/R$,,,,3 pt/R$,,2024-04-16
Choice Hotels,2.5 pt/U$,,,,,,2024-04-16
Home Angels,0.1 pt/R$,,,,0.1 pt/R$,,2024-04-16
Yuool,2 pt/R$,,,,,2 pt/R$,2024-04-16
Thule,4 pt/R$,,,,4 pt/R$,,2024-04-16
Electrolux,1 pt/R$,,,,,,2024-04-16
Nutty Bavarian,1 pt/R$,,,,1 pt/R$,,2024-04-16
VR Collezioni,2 pt/R$,,,,2 pt/R$,,2024-04-16
Johnnie Walker,2 pt/R$,,,,,2 pt/R$,2024-04-16
Bobstore,2 pt/R$,,,,2 pt/R$,,2024-04-16
InterContinental Hotels & Resorts,1.5 pt/U$,,,,,,2024-04-16
Vá de Táxi,2 pt/R$,,,,2 pt/R$,,2024-04-16
Webcontinental Marketplace,5 pt/R$,,,,,,2024-04-16
Travelux,2 pt/R$,,2 pt/R$,,,,2024-04-16
Allugator,1 pt/R$,,,,1 pt/R$,,2024-04-16
Kur Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-16
Cachaçaria Nacional,2 pt/R$,,,,,2 pt/R$,2024-04-16
Wet n Wild,1 pt/R$,,,,1 pt/R$,,2024-04-16
GetYourGuide,10 pt/£,,,,,,2024-04-16
Luck Receptivo (João Pessoa),6 pt/R$,,,,6 pt/R$,,2024-04-16
Câmbio Online,0.2 pt/R$,,,,0.2 pt/R$,,2024-04-16
CCleaner,80 pt/£,,,,,,2024-04-16
Malwee,3 pt/R$,,,,3 pt/R$,,2024-04-16
Park Sleep Fly,250 pt/U$,,,,,,2024-04-16
Ondas Praia Resort,1 pt/R$,,,,1 pt/R$,,2024-04-16
Buzios Beach Resort,1 pt/R$,,,,1 pt/R$,,2024-04-16
Hauskraft,2 pt/R$,,,,,2 pt/R$,2024-04-16
Highstil,1 pt/R$,,,,1 pt/R$,,2024-04-16
Aguativa Resort,2 pt/R$,,,,2 pt/R$,,2024-04-16
Ciroc,2 pt/R$,,,,,2 pt/R$,2024-04-16
Tanqueray,2 pt/R$,,,,,2 pt/R$,2024-04-16
Candlewood Suites,1.5 pt/U$,,,,,,2024-04-16
Crowne Plaza,1.5 pt/U$,,,,,,2024-04-16
MaxRacer,1 pt/R$,,,,1 pt/R$,,2024-04-16
Pet Paluche Box,1 pt/R$,,,,1 pt/R$,,2024-04-16
Gorila Shield,1 pt/R$,,,,,,2024-04-16
Lithos Galeria,2 pt/R$,,,,,2 pt/R$,2024-04-16
Pado,2 pt/R$,,,,2 pt/R$,,2024-04-16
ESPN+,900 pt/U$,,,,,,2024-04-16
Perestroika,2 pt/R$,,,,2 pt/R$,,2024-04-16
Next Seguro Viagem,7 pt/R$,,,,7 pt/R$,,2024-04-16
Jameson,2 pt/R$,,,,,2 pt/R$,2024-04-16
Key Design,1 pt/R$,,,,1 pt/R$,,2024-04-16
Sestini,1 pt/R$,,,,,,2024-04-16
Hopper Nutrition,1 pt/R$,,,,1 pt/R$,,2024-04-16
Mercado Facil,1 pt/R$,,,,,,2024-04-16
Beefeater,2 pt/R$,,,,,2 pt/R$,2024-04-16
Café Store,2 pt/R$,,,,,2 pt/R$,2024-04-16
Light In The Box,8 pt/€,,,,,,2024-04-16
Casa MinD,1 pt/R$,,,,1 pt/R$,,2024-04-16
Cutelaria Cimo,3 pt/R$,,,,3 pt/R$,,2024-04-16
Nars,3 pt/R$,,,,3 pt/R$,,2024-04-16
Extended Stay America,2.5 pt/U$,,,,,,2024-04-16
World Wine,2 pt/R$,,,,,2 pt/R$,2024-04-16
RDC Viagens,2 pt/R$,,,,2 pt/R$,,2024-04-16
Ketel One,2 pt/R$,,,,,2 pt/R$,2024-04-16
Guoman Hotels,12 pt/£,,,,,,2024-04-16
Wise UP,2 pt/R$,,,,2 pt/R$,,2024-04-16
Hot Beach,1 pt/R$,,,,1 pt/R$,,2024-04-16
Luck Receptivo - Recife,6 pt/R$,,,,6 pt/R$,,2024-04-16
Western,2 pt/R$,,,,,2 pt/R$,2024-04-16
Mormaii,1 pt/R$,,,,,,2024-04-16
Pet Paluche,1 pt/R$,,,,1 pt/R$,,2024-04-16
Bombay Herbs & Spices,2 pt/R$,,,,2 pt/R$,,2024-04-16
RVShare,2.5 pt/U$,,,,,,2024-04-16
Transport For Wales,5 pt/£,,,,,,2024-04-16
Saint Paul,4 pt/R$,,,,4 pt/R$,,2024-04-16
Toymania,2 pt/R$,,,,,,2024-04-16
Corel,3 pt/U$,,,,,,2024-04-16
Evan Evans Tours,7 pt/£,,,,,,2024-04-16
Grupo Dreams,2 pt/R$,,,,2 pt/R$,,2024-04-16
trainline,1 pt/£,,,,,,2024-04-16
IHG,3 pt/U$,,,,,,2024-04-16
Go City,5 pt/£,,,,,,2024-04-16
Lojas Mm,2 pt/R$,,,,,,2024-04-16
ATG Tickets,3 pt/£,,,,,,2024-04-16
Gravia,1 pt/R$,,,,,,2024-04-16
1Password,9 pt/U$,,,,,,2024-04-16
Belong Be,2 pt/R$,,,,,2 pt/R$,2024-04-16
Big Bus Tours,10 pt/£,,,,,,2024-04-16
Clima Rio,1 pt/R$,,,,,,2024-04-16
Harry Potter and the Cursed Child,5 pt/£,,,,,,2024-04-16
Hotel Nacional,1 pt/R$,,,,1 pt/R$,,2024-04-16
Bioute,1 pt/R$,,,,,,2024-04-16
Euro,1 pt/R$,,,,1 pt/R$,,2024-04-16
Candide,4 pt/R$,,,,,,2024-04-16
Lord Perfumaria,2 pt/R$,,,,2 pt/R$,,2024-04-16
The Clermont Hotel,12 pt/£,,,,,,2024-04-16
Klook,5 pt/£,,,,,,2024-04-16
Dako,1 pt/R$,,,,1 pt/R$,,2024-04-16
National Express,4 pt/£,,,,,,2024-04-16
Multimoveis,2 pt/R$,,,,,,2024-04-16
Monica Sanches,2 pt/R$,,,,2 pt/R$,,2024-04-16
Todovino,1 pt/R$,,,,,,2024-04-16
iTunes Store,7 pt/€,,,,,,2024-04-16
Glam,3 pt/R$,,,,3 pt/R$,,2024-04-16
Decore Shop,1 pt/R$,,,,,,2024-04-16
Slow Beauty,2 pt/R$,,,,,2 pt/R$,2024-04-16
Multi,2 pt/R$,,,,,2 pt/R$,2024-04-16
AttractionTickets.com,1 pt/£,,,,,,2024-04-16
NH Hotels,6 pt/£,,,,,,2024-04-16
Tottenham Hotspur Stadium Tours,15 pt/£,,,,,,2024-04-16
Salon Line,1 pt/R$,,,,,,2024-04-16
Ticketmaster,1 pt/£,,,,,,2024-04-16
First Step,1 pt/R$,,,,,1 pt/R$,2024-04-16
Wish,3 pt/U$,,,,,,2024-04-16
Simple Organic,2 pt/R$,,,,2 pt/R$,,2024-04-16
Bradesco Capitalização,2 pt/R$,,,,2 pt/R$,,2024-04-16
Macdonald Hotels,5 pt/£,,,,,,2024-04-16
Isango!,6 pt/£,,,,,,2024-04-16
Luck Receptivo Natal,6 pt/R$,,,,6 pt/R$,,2024-04-16
Minimal Club,4 pt/R$,,,,4 pt/R$,,2024-04-16
Decanter,1 pt/R$,,,,1 pt/R$,,2024-04-16
HERO SEGUROS,12 pt/R$,,,,12 pt/R$,,2024-04-16
Best Western Hotels GB,4 pt/£,,,,,,2024-04-16
Kaspersky Lab,20 pt/£,,,,,,2024-04-16
Travelodge,2 pt/£,,,,,,2024-04-16
The Montcalm Luxury Hotels,10 pt/£,,,,,,2024-04-16
Cirilo Cabos,1 pt/R$,,,,,,2024-04-16
Eventim,1 pt/£,,,,,,2024-04-16
Wembley Stadium Tours,10 pt/£,,,,,,2024-04-16
Barceló Hotels & Resorts,8 pt/€,,,,,,2024-04-16
BitDefender,20 pt/£,,,,,,2024-04-16
IBEROSTAR Hotels & Resorts,5 pt/£,,,,,,2024-04-16
Hotel Du Vin,6 pt/£,,,,,,2024-04-16
G Adventures,6 pt/£,,,,,,2024-04-16
Discount London,5 pt/£,,,,,,2024-04-16
Thistle Hotels,12 pt/£,,,,,,2024-04-16
Universal Assistance Seguros,22 pt/R$,,,,22 pt/R$,,2024-04-16
Liga Vitória Seguros,30 pt/R$,,,,30 pt/R$,,2024-04-16
Tootbus,5 pt/£,,,,,,2024-04-16
ropo®?,1 pt/R$,,,,1 pt/R$,,2024-04-16
Santa Lolla,1 pt/R$,,,,,,2024-04-16
Caesars Entertainment,5 pt/£,,,,,,2024-04-16
Calvin Klein Brasil,1 pt/R$,,,,,,2024-04-16
Hilton,4 pt/£,,,,,,2024-04-16
Hotel Gran Marquise,1 pt/R$,,,,1 pt/R$,,2024-04-16
Vale Holiday Parks,5 pt/£,,,,,,2024-04-16
SeaWorld Parks,2 pt/U$,,,,,,2024-04-16
Best Western,3 pt/U$,,,,,,2024-04-16
See Tickets,1 pt/£,,,,,,2024-04-16
Time Center,1 pt/R$,,,,,,2024-04-16
