Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Drogaria Sao Paulo,1 pt/R$,,,,1 pt/R$,,2024-04-08
Justo Supermercado,10 pt/R$,,,,,10 pt/R$,2024-04-08
Crocs,10 pt/R$,,,,3 pt/R$,,2024-04-08
Mobills,1600 pt,,,,10 pt/R$,1600 pt,2024-04-08
Dudalina,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-08
Drogarias Pacheco,1 pt/R$,,,,1 pt/R$,,2024-04-08
John John,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-08
NordVPN,40 pt/U$,,,,,,2024-04-08
Individual,3 pt/R$,,3 pt/R$,,2 pt/R$,,2024-04-08
Ponto Store,3 pt/R$,3 pt/R$,,,,,2024-04-08
Amobeleza,1 pt/R$,,,,1 pt/R$,,2024-04-08
LATAM TRAVEL,1.5 pt/R$,1.5 pt/R$,,,,,2024-04-08
Sephora,7 pt/R$,,,,7 pt/R$,,2024-04-08
Vivara,1 pt/R$,,,,1 pt/R$,,2024-04-08
LE LIS,20 pt,,20 pt,,3 pt/R$,,2024-04-08
Azul Viagens,1 pt/R$,,,,1 pt/R$,,2024-04-08
Gazin,2 pt/R$,,,,2 pt/R$,,2024-04-08
Monis,28 pt/R$,,,,28 pt/R$,,2024-04-08
Coffee Mais,12 pt/R$,,,,12 pt/R$,12 pt/R$,2024-04-08
Hering,3 pt/R$,,,,3 pt/R$,,2024-04-08
Girafa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-08
Seus Ingressos,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Oceane,2 pt/R$,,,,2 pt/R$,,2024-04-08
Hotels.com,5 pt/U$,,,,,,2024-04-08
Samsonite,2 pt/R$,,,,2 pt/R$,,2024-04-08
Quitanda,2000 pt,,,,,2000 pt,2024-04-08
Pontos por Opiniões,250 pt,,250 pt,,,,2024-04-08
ClickBus,2 pt/R$,,,,2 pt/R$,,2024-04-08
Bobo,3 pt/R$,,3 pt/R$,,3 pt/R$,,2024-04-08
Klabin,10 pt/R$,,,,1 pt/R$,10 pt/R$,2024-04-08
Consorcio Magalu,10 pt/R$,,,,10 pt/R$,,2024-04-08
YvY,3 pt/R$,,,,3 pt/R$,2 pt/R$,2024-04-08
Frigelar,1 pt/R$,,,,1 pt/R$,,2024-04-08
Nespresso,2 pt/R$,,,,,2 pt/R$,2024-04-08
Ciclic,4 pt/R$,,,,4 pt/R$,,2024-04-08
Loccitane Au Bresil,1 pt/R$,,,,1 pt/R$,,2024-04-08
Airbnb,2 pt/£,,,,,,2024-04-08
Cabana Magazine,5 pt/R$,,,,1 pt/R$,,2024-04-08
Cobasi,1 pt/R$,,,,,,2024-04-08
Puket,7 pt/R$,,,,7 pt/R$,,2024-04-08
Accor live Limitless,2 pt/R$,2 pt/R$,,,,,2024-04-08
Luxury Loyalty,3 pt/R$,,,,2 pt/R$,,2024-04-08
Microsoft Store,5 pt/U$,,,,,,2024-04-08
Buser,2 pt/R$,,,,2 pt/R$,,2024-04-08
Lego,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-08
Liz,3 pt/R$,,,,3 pt/R$,,2024-04-08
Pede Pronto,3 pt/R$,,,,3 pt/R$,,2024-04-08
Havaianas,2 pt/R$,,,,2 pt/R$,,2024-04-08
Abelha Rainha,3 pt/R$,,,,3 pt/R$,,2024-04-08
Panvel,1 pt/R$,,,,1 pt/R$,,2024-04-08
Kaligo,15 pt/U$,,,,15 pt/U$,,2024-04-08
Zissou,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-08
Loungerie,3 pt/R$,,,,3 pt/R$,,2024-04-08
GoDaddy,10 pt/U$,,,,,,2024-04-08
Sousmile,15000 pt,,,,,15000 pt,2024-04-08
Estoque,2 pt/R$,,2 pt/R$,,1 pt/R$,,2024-04-08
Marriott International,4 pt/U$,,,,,,2024-04-08
Monte Carlo,1 pt/R$,,,,1 pt/R$,,2024-04-08
Oxford,2 pt/R$,,,,2 pt/R$,,2024-04-08
Viator,12 pt/U$,,,,,,2024-04-08
Beto Carrero World,5 pt/R$,,,,5 pt/R$,,2024-04-08
Asics,1 pt/R$,,,,1 pt/R$,,2024-04-08
Foco,2 pt/R$,,,,2 pt/R$,,2024-04-08
Cruzeiros Agaxtur,2 pt/R$,,,,2 pt/R$,,2024-04-08
CARREFOUR Mercado,6 pt/R$,,,,6 pt/R$,,2024-04-08
Hope,4 pt/R$,,,,4 pt/R$,,2024-04-08
Horas Mágicas,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-08
Portallar,12 pt/R$,,,,12 pt/R$,,2024-04-08
Posthaus,10 pt/R$,,,,10 pt/R$,,2024-04-08
Época Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-08
Loccitane en Provence,1 pt/R$,,,,1 pt/R$,,2024-04-08
Dzarm,3 pt/R$,,,,3 pt/R$,,2024-04-08
Quero Passagem,1 pt/R$,,,,1 pt/R$,,2024-04-08
Piatan Natural,13 pt/R$,,,,13 pt/R$,,2024-04-08
eBay,0.5 pt/U$,,,,,,2024-04-08
Reservecar,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Spicy,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-08
Café Orfeu,3 pt/R$,,,,3 pt/R$,,2024-04-08
Top Móveis,1 pt/R$,,,,1 pt/R$,,2024-04-08
Studio Z,2 pt/R$,,,,2 pt/R$,,2024-04-08
Ciclic Seguro Celular,4 pt/R$,,,,4 pt/R$,,2024-04-08
Supernosso,1 pt/R$,,,,1 pt/R$,,2024-04-08
Trocafy,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Autodesk,3 pt/U$,,,,,,2024-04-08
Vila Galé,0.5 pt/R$,,,,,,2024-04-08
Lojas Colombo,4 pt/R$,,,,,,2024-04-08
Paramount+,350 pt,,,,,,2024-04-08
Allianz Travel,4 pt/R$,,,,4 pt/R$,,2024-04-08
Umbro,2 pt/R$,,,,2 pt/R$,,2024-04-08
Fila,2 pt/R$,,,,2 pt/R$,,2024-04-08
Marriott Bonvoy,0.33 pt/R$,0.33 pt/R$,,,,,2024-04-08
McAfee.com,15 pt/U$,,,,,,2024-04-08
Surfshark,15 pt/U$,,,,,,2024-04-08
AVG,12 pt/U$,,,,,,2024-04-08
IntegralMedica,5 pt/R$,,,,5 pt/R$,,2024-04-08
SHI,25000 pt,,,,,25000 pt,2024-04-08
Babbel,6 pt/U$,,,,,,2024-04-08
Reservations.com,5 pt/U$,,,,,,2024-04-08
JBL,1 pt/R$,,,,1 pt/R$,,2024-04-08
Under Armour,1 pt/R$,,,,1 pt/R$,,2024-04-08
Auto Compara,5000 pt,,,,,5000 pt,2024-04-08
Giuliana Flores,3 pt/R$,,,,3 pt/R$,,2024-04-08
Osklen,2 pt/R$,,,,2 pt/R$,,2024-04-08
Sixt,1 pt/R$,,,,1 pt/R$,,2024-04-08
Avast,12 pt/U$,,,,,,2024-04-08
Nomad,5 pt/U$,,,,,5 pt/U$,2024-04-08
Coliseu,2 pt/R$,,,,2 pt/R$,,2024-04-08
Basicamente,4 pt/R$,,,,4 pt/R$,,2024-04-08
Hoteis de Luxo Brasil,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-08
NordPass,20 pt/U$,,,,,,2024-04-08
Summerville,2 pt/R$,,,,2 pt/R$,,2024-04-08
Hope Resort,4 pt/R$,,,,4 pt/R$,,2024-04-08
Morana,3 pt/R$,,,,3 pt/R$,,2024-04-08
Holiday Inn,3 pt/U$,,,,,,2024-04-08
Tia Sônia,1 pt/R$,,,,1 pt/R$,,2024-04-08
Dream Fitness,1 pt/R$,,,,1 pt/R$,,2024-04-08
Bonjour Lingerie,4 pt/R$,,,,4 pt/R$,,2024-04-08
La Pastina,2 pt/R$,,,,,2 pt/R$,2024-04-08
Speedo,4 pt/R$,,,,4 pt/R$,,2024-04-08
Easy Live,1 pt/R$,,,,1 pt/R$,,2024-04-08
Cafe Utam,2 pt/R$,,,,2 pt/R$,,2024-04-08
Travelex,1 pt/U$,,,,1 pt/U$,,2024-04-08
ALL-Accor Live Limitless,8 pt/£,,,,,,2024-04-08
CyberGhost VPN,20 pt/U$,,,,,,2024-04-08
WebContinental,3 pt/R$,,,,,,2024-04-08
Britânia,1 pt/R$,,,,,,2024-04-08
Império,1 pt/R$,,,,1 pt/R$,,2024-04-08
Chico Rei,1 pt/R$,,,,1 pt/R$,,2024-04-08
Caesars Rewards,2 pt/U$,,,,,,2024-04-08
Oster,1 pt/R$,,,,1 pt/R$,,2024-04-08
Santista,2 pt/R$,,,,2 pt/R$,,2024-04-08
Chocolat Du Jour,2 pt/R$,,,,,2 pt/R$,2024-04-08
Grand Cru,2 pt/R$,,,,,2 pt/R$,2024-04-08
Beep,1 pt/R$,,,,1 pt/R$,,2024-04-08
Sebastian Coffee,10 pt/R$,,,,10 pt/R$,,2024-04-08
Guldi,1 pt/R$,,,,1 pt/R$,,2024-04-08
Philco,1 pt/R$,,,,,,2024-04-08
Nutrify,5 pt/R$,,,,5 pt/R$,,2024-04-08
IFriend,2 pt/R$,2 pt/R$,,,,,2024-04-08
Ubisoft Store,1 pt/U$,,,,,,2024-04-08
Iplace,1 pt/R$,,,,,,2024-04-08
Gama Italy,2 pt/R$,,,,,2 pt/R$,2024-04-08
Loja Madesa,1 pt/R$,,,,1 pt/R$,,2024-04-08
Priority Pass,10 pt/U$,,,,,,2024-04-08
Mizuno,1 pt/R$,,,,1 pt/R$,,2024-04-08
Nike,2 pt/R$,,,,2 pt/R$,,2024-04-08
Seculus,2 pt/R$,,,,2 pt/R$,,2024-04-08
Le Biscuit,2 pt/R$,,,,,,2024-04-08
Multilaser,1 pt/R$,,,,,,2024-04-08
Beyoung,3 pt/R$,,,,3 pt/R$,,2024-04-08
Beach Park,2 pt/R$,,,,2 pt/R$,,2024-04-08
Utilplast,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-08
Avon,4 pt/R$,,,,4 pt/R$,,2024-04-08
Olympikus,1 pt/R$,,,,1 pt/R$,,2024-04-08
Artex,1 pt/R$,,,,1 pt/R$,,2024-04-08
Flormel,3 pt/R$,,,,3 pt/R$,,2024-04-08
Basico.com,3 pt/R$,,,,3 pt/R$,,2024-04-08
Cestas Michelli,3 pt/R$,,,,3 pt/R$,,2024-04-08
Radisson Hotels,4 pt/U$,,,,,,2024-04-08
Cervejabox,1 pt/R$,,,,1 pt/R$,,2024-04-08
CARE Natural Beauty,4 pt/R$,,,,4 pt/R$,,2024-04-08
Foxton,2 pt/R$,,,,2 pt/R$,,2024-04-08
Tiqets,6 pt/U$,,,,,,2024-04-08
Granado,1 pt/R$,,,,1 pt/R$,,2024-04-08
Baw Clothing,2 pt/R$,,,,2 pt/R$,,2024-04-08
Technos,2 pt/R$,,,,2 pt/R$,,2024-04-08
Darkness,5 pt/R$,,,,5 pt/R$,,2024-04-08
avis,1 pt/R$,,,,1 pt/R$,,2024-04-08
Bebelier,8 pt/R$,,,,8 pt/R$,,2024-04-08
Electrolux,1 pt/R$,,,,,,2024-04-08
Salinas,2 pt/R$,,,,2 pt/R$,,2024-04-08
Guess,2 pt/R$,,,,2 pt/R$,,2024-04-08
Penalty,4 pt/R$,,,,4 pt/R$,,2024-04-08
Mondaine,2 pt/R$,,,,2 pt/R$,,2024-04-08
Mini In The Box,12 pt/€,,,,,,2024-04-08
MeuCopo,2 pt/R$,,,,2 pt/R$,,2024-04-08
Shiseido,3 pt/R$,,,,3 pt/R$,,2024-04-08
New Balance,3 pt/R$,,,,3 pt/R$,,2024-04-08
Fóssil,2 pt/R$,,,,2 pt/R$,,2024-04-08
Budget,1 pt/R$,,,,1 pt/R$,,2024-04-08
Gorila Shield,1 pt/R$,,,,,,2024-04-08
Hertz,1 pt/R$,,,,1 pt/R$,,2024-04-08
Quero-Quero,1 pt/R$,,,,1 pt/R$,,2024-04-08
Ballantine's,2 pt/R$,,,,,2 pt/R$,2024-04-08
Richards,2 pt/R$,,,,2 pt/R$,,2024-04-08
Ellus,2 pt/R$,,,,2 pt/R$,,2024-04-08
Viação Garcia,1 pt/R$,,,,1 pt/R$,,2024-04-08
Hoteis Deville,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-08
Travel 365,3 pt/R$,,,,3 pt/R$,,2024-04-08
Holiday Inn Express,3 pt/U$,,,,,,2024-04-08
C2 Tours,2 pt/R$,,,,2 pt/R$,,2024-04-08
Guanabara,5 pt/R$,,,,5 pt/R$,,2024-04-08
Creditas,1 pt/R$,,,,1 pt/R$,,2024-04-08
Simples Reserva,2 pt/R$,,,,2 pt/R$,,2024-04-08
Julio Okubo,1 pt/R$,,,,1 pt/R$,,2024-04-08
Absolut,2 pt/R$,,,,,2 pt/R$,2024-04-08
Atalaia Noronha,2 pt/R$,,,,2 pt/R$,,2024-04-08
Lolita,1 pt/R$,,,,1 pt/R$,,2024-04-08
Microsoft 365 for Business,200 pt,,,,,,2024-04-08
Buddha Spa,2 pt/R$,,,,2 pt/R$,,2024-04-08
Fábula,2 pt/R$,,,,2 pt/R$,,2024-04-08
Época cosmésticos,2 pt/R$,,,,2 pt/R$,,2024-04-08
Maria Filo,2 pt/R$,,,,2 pt/R$,,2024-04-08
Porto Faz,2 pt/R$,,,,2 pt/R$,,2024-04-08
Mercado Facil,1 pt/R$,,,,,,2024-04-08
Viajar,2 pt/R$,,,,2 pt/R$,,2024-04-08
Polar,2 pt/R$,,,,,2 pt/R$,2024-04-08
Cadence,1 pt/R$,,,,1 pt/R$,,2024-04-08
Privé Hotéis e Parques,1 pt/R$,,,,1 pt/R$,,2024-04-08
Miolo,1 pt/R$,,,,1 pt/R$,,2024-04-08
Mercato,2 pt/R$,,,,2 pt/R$,,2024-04-08
"Quem disse, Berenice?",5 pt/R$,,,,5 pt/R$,,2024-04-08
Tailors Mind,4 pt/R$,,,,4 pt/R$,,2024-04-08
Luck Receptivo (Salvador),5 pt/R$,,,,5 pt/R$,,2024-04-08
Sottile,1 pt/R$,,,,1 pt/R$,,2024-04-08
BRT,1 pt/R$,,,,1 pt/R$,,2024-04-08
Hotel Indigo,2.5 pt/U$,,,,,,2024-04-08
Meia Sola,5 pt/R$,,,,5 pt/R$,,2024-04-08
Wishin,2 pt/R$,,,,2 pt/R$,,2024-04-08
Oficina Reserva,1 pt/R$,,,,1 pt/R$,,2024-04-08
Pipooh,4 pt/R$,,,,4 pt/R$,,2024-04-08
Agoda,8 pt/£,,,,,,2024-04-08
Go case,2 pt/R$,,,,2 pt/R$,,2024-04-08
TripChip,4 pt/R$,,,,4 pt/R$,,2024-04-08
Chilli Beans,1 pt/R$,,,,,,2024-04-08
Mormaii,1 pt/R$,,,,,,2024-04-08
Apoio Entregas,0.33 pt/R$,,,,0.33 pt/R$,,2024-04-08
Hostelworld,25 pt/£,,,,,,2024-04-08
Quintess,3 pt/R$,,,,3 pt/R$,,2024-04-08
Airalo,15 pt/£,,,,,,2024-04-08
Choice Hotels,2.5 pt/U$,,,,,,2024-04-08
Home Angels,0.1 pt/R$,,,,0.1 pt/R$,,2024-04-08
Yuool,2 pt/R$,,,,,2 pt/R$,2024-04-08
Thule,1 pt/R$,,,,1 pt/R$,,2024-04-08
Nutty Bavarian,1 pt/R$,,,,1 pt/R$,,2024-04-08
VR Collezioni,2 pt/R$,,,,2 pt/R$,,2024-04-08
Lojas Mm,1 pt/R$,,,,,,2024-04-08
InterContinental Hotels & Resorts,2.5 pt/U$,,,,,,2024-04-08
Bobstore,2 pt/R$,,,,2 pt/R$,,2024-04-08
Allugator,1 pt/R$,,,,1 pt/R$,,2024-04-08
Kur Cosméticos,2 pt/R$,,,,,2 pt/R$,2024-04-08
Johnnie Walker,2 pt/R$,,,,,2 pt/R$,2024-04-08
Wet n Wild,1 pt/R$,,,,1 pt/R$,,2024-04-08
Gravia,1 pt/R$,,,,,,2024-04-08
Cachaçaria Nacional,2 pt/R$,,,,,2 pt/R$,2024-04-08
Vá de Táxi,1 pt/R$,,,,1 pt/R$,,2024-04-08
Clima Rio,1 pt/R$,,,,,,2024-04-08
Luck Receptivo (João Pessoa),5 pt/R$,,,,5 pt/R$,,2024-04-08
Ondas Praia Resort,1 pt/R$,,,,1 pt/R$,,2024-04-08
CCleaner,80 pt/£,,,,,,2024-04-08
Travelux,2 pt/R$,,2 pt/R$,,,,2024-04-08
Malwee,3 pt/R$,,,,3 pt/R$,,2024-04-08
Park Sleep Fly,250 pt/U$,,,,,,2024-04-08
Buzios Beach Resort,1 pt/R$,,,,1 pt/R$,,2024-04-08
Bioute,1 pt/R$,,,,,,2024-04-08
Highstil,1 pt/R$,,,,1 pt/R$,,2024-04-08
Candlewood Suites,2.5 pt/U$,,,,,,2024-04-08
Crowne Plaza,2.5 pt/U$,,,,,,2024-04-08
Pet Paluche Box,1 pt/R$,,,,1 pt/R$,,2024-04-08
Webcontinental Marketplace,5 pt/R$,,,,,,2024-04-08
Candide,4 pt/R$,,,,,,2024-04-08
Ciroc,2 pt/R$,,,,,2 pt/R$,2024-04-08
Tanqueray,2 pt/R$,,,,,2 pt/R$,2024-04-08
MaxRacer,1 pt/R$,,,,1 pt/R$,,2024-04-08
GetYourGuide,7 pt/£,,,,,,2024-04-08
Perestroika,2 pt/R$,,,,2 pt/R$,,2024-04-08
Câmbio Online,0.2 pt/R$,,,,0.2 pt/R$,,2024-04-08
Decore Shop,1 pt/R$,,,,,,2024-04-08
Pado,2 pt/R$,,,,2 pt/R$,,2024-04-08
Multimoveis,2 pt/R$,,,,,,2024-04-08
Lithos Galeria,2 pt/R$,,,,,2 pt/R$,2024-04-08
ESPN+,900 pt/U$,,,,,,2024-04-08
Key Design,1 pt/R$,,,,1 pt/R$,,2024-04-08
Jameson,2 pt/R$,,,,,2 pt/R$,2024-04-08
Sestini,1 pt/R$,,,,,,2024-04-08
Hopper Nutrition,1 pt/R$,,,,1 pt/R$,,2024-04-08
Next Seguro Viagem,7 pt/R$,,,,7 pt/R$,,2024-04-08
Hauskraft,2 pt/R$,,,,,2 pt/R$,2024-04-08
Aguativa Resort,2 pt/R$,,,,2 pt/R$,,2024-04-08
Beefeater,2 pt/R$,,,,,2 pt/R$,2024-04-08
Light In The Box,8 pt/€,,,,,,2024-04-08
Casa MinD,1 pt/R$,,,,1 pt/R$,,2024-04-08
Café Store,2 pt/R$,,,,,2 pt/R$,2024-04-08
Cutelaria Cimo,3 pt/R$,,,,3 pt/R$,,2024-04-08
Extended Stay America,2.5 pt/U$,,,,,,2024-04-08
Nars,3 pt/R$,,,,3 pt/R$,,2024-04-08
RDC Viagens,2 pt/R$,,,,2 pt/R$,,2024-04-08
World Wine,2 pt/R$,,,,,2 pt/R$,2024-04-08
Cirilo Cabos,1 pt/R$,,,,,,2024-04-08
Ketel One,2 pt/R$,,,,,2 pt/R$,2024-04-08
Guoman Hotels,12 pt/£,,,,,,2024-04-08
Wise UP,2 pt/R$,,,,2 pt/R$,,2024-04-08
Hot Beach,1 pt/R$,,,,1 pt/R$,,2024-04-08
Pet Paluche,1 pt/R$,,,,1 pt/R$,,2024-04-08
Luck Receptivo - Recife,1 pt/R$,,,,1 pt/R$,,2024-04-08
RVShare,2.5 pt/U$,,,,,,2024-04-08
Bombay Herbs & Spices,2 pt/R$,,,,2 pt/R$,,2024-04-08
Calvin Klein Brasil,1 pt/R$,,,,,,2024-04-08
Saint Paul,4 pt/R$,,,,4 pt/R$,,2024-04-08
Corel,3 pt/U$,,,,,,2024-04-08
Toymania,1 pt/R$,,,,,,2024-04-08
Evan Evans Tours,7 pt/£,,,,,,2024-04-08
Grupo Dreams,2 pt/R$,,,,2 pt/R$,,2024-04-08
trainline,1 pt/£,,,,,,2024-04-08
Western,2 pt/R$,,,,,2 pt/R$,2024-04-08
Transport For Wales,1 pt/£,,,,,,2024-04-08
Go City,5 pt/£,,,,,,2024-04-08
ATG Tickets,3 pt/£,,,,,,2024-04-08
Belong Be,2 pt/R$,,,,,2 pt/R$,2024-04-08
1Password,9 pt/U$,,,,,,2024-04-08
Big Bus Tours,10 pt/£,,,,,,2024-04-08
IHG,3 pt/U$,,,,,,2024-04-08
Hotel Nacional,1 pt/R$,,,,1 pt/R$,,2024-04-08
Lord Perfumaria,2 pt/R$,,,,2 pt/R$,,2024-04-08
Mercafé Por 3Corações,1 pt/R$,,,,,,2024-04-08
Harry Potter and the Cursed Child,5 pt/£,,,,,,2024-04-08
Dako,1 pt/R$,,,,1 pt/R$,,2024-04-08
National Express,4 pt/£,,,,,,2024-04-08
Klook,5 pt/£,,,,,,2024-04-08
Euro,1 pt/R$,,,,1 pt/R$,,2024-04-08
Todovino,1 pt/R$,,,,,,2024-04-08
The Clermont Hotel,12 pt/£,,,,,,2024-04-08
Glam,3 pt/R$,,,,3 pt/R$,,2024-04-08
iTunes Store,7 pt/€,,,,,,2024-04-08
Monica Sanches,2 pt/R$,,,,2 pt/R$,,2024-04-08
Salon Line,1 pt/R$,,,,,,2024-04-08
Multi,2 pt/R$,,,,,2 pt/R$,2024-04-08
Slow Beauty,2 pt/R$,,,,,2 pt/R$,2024-04-08
NH Hotels,6 pt/£,,,,,,2024-04-08
Wish,3 pt/U$,,,,,,2024-04-08
Tottenham Hotspur Stadium Tours,15 pt/£,,,,,,2024-04-08
AttractionTickets.com,1 pt/£,,,,,,2024-04-08
Simple Organic,2 pt/R$,,,,2 pt/R$,,2024-04-08
Ticketmaster,1 pt/£,,,,,,2024-04-08
Bradesco Capitalização,2 pt/R$,,,,2 pt/R$,,2024-04-08
Minimal Club,4 pt/R$,,,,4 pt/R$,,2024-04-08
Multiloja,1 pt/R$,,,,,,2024-04-08
Decanter,1 pt/R$,,,,1 pt/R$,,2024-04-08
HERO SEGUROS,6 pt/R$,,,,6 pt/R$,,2024-04-08
First Step,1 pt/R$,,,,,1 pt/R$,2024-04-08
Best Western Hotels GB,4 pt/£,,,,,,2024-04-08
Isango!,6 pt/£,,,,,,2024-04-08
Macdonald Hotels,5 pt/£,,,,,,2024-04-08
Kaspersky Lab,20 pt/£,,,,,,2024-04-08
Barceló Hotels & Resorts,8 pt/€,,,,,,2024-04-08
Luck Receptivo Natal,5 pt/R$,,,,5 pt/R$,,2024-04-08
IBEROSTAR Hotels & Resorts,5 pt/£,,,,,,2024-04-08
G Adventures,6 pt/£,,,,,,2024-04-08
Thistle Hotels,12 pt/£,,,,,,2024-04-08
The Montcalm Luxury Hotels,10 pt/£,,,,,,2024-04-08
BitDefender,20 pt/£,,,,,,2024-04-08
Discount London,5 pt/£,,,,,,2024-04-08
Universal Assistance Seguros,6 pt/R$,,,,6 pt/R$,,2024-04-08
Santa Lolla,1 pt/R$,,,,,,2024-04-08
Travelodge,2 pt/£,,,,,,2024-04-08
Wembley Stadium Tours,10 pt/£,,,,,,2024-04-08
Europa,1 pt/R$,,,,,,2024-04-08
Hilton,4 pt/£,,,,,,2024-04-08
Hotel Du Vin,6 pt/£,,,,,,2024-04-08
ropo®?,1 pt/R$,,,,1 pt/R$,,2024-04-08
Vale Holiday Parks,5 pt/£,,,,,,2024-04-08
SeaWorld Parks,2 pt/U$,,,,,,2024-04-08
Best Western,3 pt/U$,,,,,,2024-04-08
Hotel Gran Marquise,1 pt/R$,,,,1 pt/R$,,2024-04-08
Time Center,1 pt/R$,,,,,,2024-04-08
