Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,5 pt/R$,3 pt/R$,3 pt/R$,5 pt/R$,5 pt/R$,5 pt/R$,2024-04-08
Ponto,4 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,4 pt/R$,1 pt/R$,2024-04-08
Magazine Luiza,3 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-08
Extra,4 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,4 pt/R$,1 pt/R$,2024-04-08
Lojas Renner,3 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,2 pt/R$,2024-04-08
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-08
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-08
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-08
Camicado,3 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-08
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-08
Polishop,3 pt/R$,3 pt/R$,,3 pt/R$,,3 pt/R$,2024-04-08
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-08
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-08
Hoteis.com,7 pt/U$,7 pt/U$,,,1 pt/R$,4 pt/R$,2024-04-08
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Natura,10 pt/R$,,4 pt/R$,,6 pt/R$,10 pt/R$,2024-04-08
Insider Store,15 pt/R$,,,,10 pt/R$,15 pt/R$,2024-04-08
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-08
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-08
Decolar,12 pt/R$,,,,2 pt/R$,12 pt/R$,2024-04-08
Baianão,1 pt/R$,,,,1 pt/R$,,2024-04-08
Decathlon,2 pt/R$,,,,2 pt/R$,,2024-04-08
Portal das Malas,2 pt/R$,2 pt/R$,2 pt/R$,,1 pt/R$,,2024-04-08
Top Store,3 pt/R$,,2 pt/R$,3 pt/R$,1 pt/R$,,2024-04-08
Unidas,6 pt/R$,,2 pt/R$,,6 pt/R$,6 pt/R$,2024-04-08
Rentcars,2 pt/R$,2 pt/R$,1 pt/R$,,1 pt/R$,,2024-04-08
Localiza,10 pt/U$,,,,10 pt/U$,,2024-04-08
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Petlove Saúde,30 pt/R$,,6 pt/R$,,6 pt/R$,30 pt/R$,2024-04-08
Rentalcars,6 pt/U$,4 pt/U$,,,6 pt/U$,,2024-04-08
Samsung,1 pt/R$,,,,,,2024-04-08
Assist Card,15 pt/R$,,15 pt/R$,,10 pt/R$,,2024-04-08
CEA,2 pt/R$,,,,2 pt/R$,,2024-04-08
Mycon,32 pt/R$,,,,32 pt/R$,,2024-04-08
Dafiti,2 pt/R$,,,,2 pt/R$,,2024-04-08
Farmacias App,4 pt/R$,,,,4 pt/R$,,2024-04-08
Disney+,1731 pt,,,,,,2024-04-08
Beleza na web,4 pt/R$,,,,4 pt/R$,,2024-04-08
Mais Barato,3 pt/R$,2 pt/R$,,,3 pt/R$,,2024-04-08
Forever Liss,10 pt/R$,,,,2 pt/R$,10 pt/R$,2024-04-08
Eudora,2 pt/R$,,,,2 pt/R$,,2024-04-08
Boticário,3 pt/R$,,,,3 pt/R$,,2024-04-08
Novo Mundo,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-08
Carrefour,1 pt/R$,,,,1 pt/R$,,2024-04-08
shoestock,3 pt/R$,,,,3 pt/R$,3 pt/R$,2024-04-08
ABC da Construcao,1 pt/R$,,,,1 pt/R$,,2024-04-08
Mistral,12 pt/R$,,,,1 pt/R$,12 pt/R$,2024-04-08
Mobly,1 pt/R$,,,,1 pt/R$,,2024-04-08
Imaginarium,2 pt/R$,,,,1 pt/R$,2 pt/R$,2024-04-08
Bagaggio,1 pt/R$,,1 pt/R$,,1 pt/R$,,2024-04-08
Compra Certa,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-08
